case_id,time,time_fraction,x,exact_density,cse_density,absolute_density_error,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,physics_gated_dkan_fv_engineering_density,physics_gated_dkan_fv_engineering_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
stress05,0.0,0.0,0.0517578125,0.2,0.2,0.0,5.027656769075205e-05,0.46533275,0.2653327465057373,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0537109375,0.2,0.2,0.0,5.027656769075205e-05,0.44964254,0.24964253902435302,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0556640625,0.2,0.2,0.0,5.027656769075205e-05,0.43179262,0.23179261684417723,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0576171875,0.2,0.2,0.0,5.027656769075205e-05,0.41205016,0.21205015778541564,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0595703125,0.2,0.2,0.0,5.027656769075205e-05,0.39086336,0.19086335897445678,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0615234375,0.2,0.2,0.0,5.027656769075205e-05,0.36881715,0.16881715059280394,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0634765625,0.2,0.2,0.0,5.027656769075205e-05,0.34656453,0.14656453132629393,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0654296875,0.2,0.2,0.0,5.027656769075205e-05,0.32730675,0.12730674743652343,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0673828125,0.2,0.2,0.0,5.027656769075205e-05,0.31374538,0.113745379447937,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0693359375,0.2,0.2,0.0,5.027656769075205e-05,0.30114666,0.10114665627479552,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0712890625,0.2,0.2,0.0,5.027656769075205e-05,0.2894749,0.08947490453720092,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0732421875,0.2,0.2,0.0,5.027656769075205e-05,0.2786857,0.07868568897247313,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0751953125,0.2,0.2,0.0,5.027656769075205e-05,0.26872876,0.06872876286506652,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0771484375,0.2,0.2,0.0,5.027656769075205e-05,0.25891766,0.058917659521102894,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0791015625,0.2,0.2,0.0,5.027656769075205e-05,0.24151076,0.0415107637643814,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0810546875,0.2,0.2,0.0,5.027656769075205e-05,0.22561474,0.025614741444587696,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0830078125,0.2,0.2,0.0,5.027656769075205e-05,0.21115467,0.011154669523239125,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0849609375,0.2,0.2,0.0,5.027656769075205e-05,0.19803102,0.0019689768552780262,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0869140625,0.2,0.2,0.0,5.027656769075205e-05,0.18683065,0.013169345259666454,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0888671875,0.2,0.2,0.0,5.027656769075205e-05,0.18162571,0.018374291062355053,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0908203125,0.2,0.2,0.0,5.027656769075205e-05,0.17688456,0.023115438222885143,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0927734375,0.2,0.2,0.0,5.027656769075205e-05,0.17252862,0.027471375465393078,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0947265625,0.2,0.2,0.0,5.027656769075205e-05,0.1685151,0.03148489892482759,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0966796875,0.2,0.2,0.0,5.027656769075205e-05,0.16482723,0.03517277240753175,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.0986328125,0.2,0.2,0.0,5.027656769075205e-05,0.16146599,0.03853401243686677,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1005859375,0.2,0.2,0.0,5.027656769075205e-05,0.15844268,0.041557323932647716,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1025390625,0.2,0.2,0.0,5.027656769075205e-05,0.15577376,0.04422624111175538,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1044921875,0.2,0.2,0.0,5.027656769075205e-05,0.15347652,0.046523478627204906,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1064453125,0.2,0.2,0.0,5.027656769075205e-05,0.15156606,0.04843394160270692,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1083984375,0.2,0.2,0.0,5.027656769075205e-05,0.15005423,0.04994576871395112,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1103515625,0.2,0.2,0.0,5.027656769075205e-05,0.14894877,0.051051226258277904,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1123046875,0.2,0.2,0.0,5.027656769075205e-05,0.148254,0.05174599289894105,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1142578125,0.2,0.2,0.0,5.027656769075205e-05,0.14797069,0.05202930867671968,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1162109375,0.2,0.2,0.0,5.027656769075205e-05,0.14809665,0.05190334916114808,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1181640625,0.2,0.2,0.0,5.027656769075205e-05,0.14862536,0.051374641060829174,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1201171875,0.2,0.2,0.0,5.027656769075205e-05,0.1495456,0.05045440495014192,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1220703125,0.2,0.2,0.0,5.027656769075205e-05,0.15083912,0.049160879850387584,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1240234375,0.2,0.2,0.0,5.027656769075205e-05,0.1524799,0.047520098090171825,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1259765625,0.2,0.2,0.0,5.027656769075205e-05,0.15443245,0.045567554235458385,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1279296875,0.2,0.2,0.0,5.027656769075205e-05,0.15665203,0.04334796667099,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1298828125,0.2,0.2,0.0,5.027656769075205e-05,0.15908536,0.04091463685035707,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1318359375,0.2,0.2,0.0,5.027656769075205e-05,0.1616713,0.03832870423793794,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1337890625,0.2,0.2,0.0,5.027656769075205e-05,0.16434345,0.03565655350685121,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
stress05,0.0,0.0,0.1357421875,0.2,0.2,0.0,5.027656769075205e-05,0.16703224,0.03296775817871095,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
