equation,method,state_error,shock_width,conservation_indicator,entropy_violation,training_seconds,online_seconds,seed_count
burgers,MLP-PINN,0.25011009004322277,0.20092538127654166,0.0019020153263584472,0.24283720622866808,13.952976999804378,0.0005342997610569,5
burgers,GW-PINN,0.26523586927088044,0.2225103092684245,0.002187251871879764,0.22983002916335651,17.42946710018441,0.0005312003195285797,5
burgers,AV-PINN,0.15674228012755806,0.06071801534370014,0.001605381348270818,0.152054626739961,17.412242899648845,0.0005254996940493584,5
burgers,CI-PINN,0.2879513498447464,0.26097881502483805,0.0010144035516997385,0.18102341804373745,15.486480200197548,0.0006244000978767872,5
burgers,DKAN-PINN,0.16020253520427413,0.0660492291542285,0.007756487739359663,0.14980532872080604,40.12926259962842,0.003325799945741892,5
burgers,Fixed FV reconstruction,0.08761459994027371,,0.0,0.0,0.0,0.7590293996036053,5
burgers,CSE-DKAN-FV,0.031167866141661973,0.005873346916884098,2.22e-16,0.0,30.970230599865317,0.7622931995429099,5
euler,MLP-PINN,0.17312197807159604,1.0,0.09187900738138421,0.020102965797263672,22.404151299968362,0.00043209968134760857,5
euler,GW-PINN,0.19185723036741828,1.0,0.0504999078268662,0.03571839066011062,34.6186473001726,0.00040320027619600296,5
euler,AV-PINN,0.16764967649819867,1.0,0.0868971082090697,0.024495215546083027,36.75296719977632,0.0004278002306818962,5
euler,CI-PINN,0.2006132040066638,1.0,0.024230362254699545,0.005025503759673811,30.89454000024125,0.0004932000301778316,5
euler,DKAN-PINN,0.08130608514423666,0.08509198117728889,0.011268391149792611,0.02873806747818697,59.14908930007368,0.002106399741023779,5
euler,Fixed FV reconstruction,0.018929384606535034,,0.0,0.0,0.0,2.8188491999171674,5
euler,CSE-DKAN-FV,0.01862869538711514,0.008494928163870874,4.44e-16,0.0,182.47215529996902,2.8514775997027755,5
