ci95_high,ci95_low,detail,gate,passed,threshold,value
,,"ratio of median seed-level geometric-mean errors, FNO / engineering DKAN-FV",primary_20_percent,True,1.2,3.768700076935171
1.0747063308992821,1.0102154280848925,,same_backbone_increment_gain,False,1.05,1.0335866427152083
,,,same_backbone_increment_win_rate,True,0.6,0.65
1.09834314784754,1.00677953403571,,stress_robustness_gain,True,1.0,1.0522913312850255
,,,stress_robustness_win_rate,True,0.5,0.6666666666666666
,,,hard_conservation,True,1e-12,1.7763568394002505e-15
,,,positivity,True,1,1
