cases,density_tv_excess_median,domain_integral_error_median,group,maximum_entropy_violation,maximum_rh_residual,method,minimum_density,minimum_pressure,online_seconds_median,primary_error_geometric_mean,primary_error_median,rows,shock_width_median
20,1.0677223709597845,0.06766648804276547,in_distribution,0.2573033571243286,0.8665581183374341,fno_operator,0.05171223357319832,0.02129173092544079,0.0014332500286400318,0.12124650383793233,0.12119986589103575,60,0.06649167021612451
20,0.010820984300274596,0.0013624984940600823,in_distribution,0.0,0.022874592137246467,hllc_fixed_mc_subcell,0.05758799999999999,0.028323000000000004,0.2917678998783231,0.03431181798120692,0.033807852723272816,20,0.014763013917644952
20,0.008837469150057863,0.001362498494048828,in_distribution,0.0,0.0021612403132068806,hllc_muscl_fine,0.05758799999999999,0.028323000000000004,1.3620033499319106,0.0171272692227999,0.01632307435035725,20,0.004345771447989644
20,0.010600387241919886,0.0013624984940597232,in_distribution,0.001090918766642024,0.019610353778406493,hllc_piecewise_constant,0.05758799999999999,0.028323000000000004,0.2917678998783231,0.037236056514369675,0.036194158884908983,20,0.016173728781818386
20,0.15413821821293905,0.0013624984940605205,in_distribution,0.0,0.022842203686461907,physics_gated_dkan_fv_engineering,0.05758799999999999,0.028323000000000004,0.3056740998290479,0.03217189069139816,0.03165528185502487,60,0.013994009317107148
20,0.03779044307117212,0.0013624984940606424,in_distribution,0.0,0.02287098566967272,physics_gated_dkan_fv_sod_neighbourhood,0.05758799999999999,0.028323000000000004,0.30516049987636507,0.03285529155783048,0.03382151277666864,60,0.014391474845425745
10,1.85161124013456,0.2503959764456361,stress,0.4347233772277832,0.9990671083473281,fno_operator,0.021508069708943367,0.007759823463857174,0.0014915000647306442,0.7733910253034384,0.18553947308000135,30,0.14009463089238938
10,0.022522321490066638,0.0006318130446661249,stress,0.0,0.021610345281196125,hllc_fixed_mc_subcell,0.029999999999999995,0.008,0.2828038998413831,0.001270273245560185,0.02511871390654031,10,0.01449276522390619
10,0.015015798503137497,0.0006318130446827825,stress,0.0,0.006188134536426155,hllc_muscl_fine,0.029999999999999995,0.008,1.2979950499720871,0.0006691756236670353,0.013888114394173836,10,0.004328990856400816
10,0.022522321490066638,0.0006318130446659467,stress,2.6824153161186803e-07,0.02607621244831526,hllc_piecewise_constant,0.029999999999999995,0.008,0.2828038998413831,0.0013819457951698185,0.028934859116979787,10,0.016140906905938113
10,0.1537517234115086,0.0006318130446663975,stress,0.0,0.021707742514290296,physics_gated_dkan_fv_engineering,0.029999999999999995,0.008,0.29636664991267025,0.0012045661876010087,0.026031305437626877,30,0.013795850450445152
10,0.03258743954208467,0.000631813044666677,stress,0.0,0.021613031565601053,physics_gated_dkan_fv_sod_neighbourhood,0.029999999999999995,0.008,0.2967298496514559,0.0012177134347172176,0.024441008215835017,30,0.013879861491659984
