case_id,method,method_label,seed_count,density_normalized_l2,velocity_normalized_l2,pressure_normalized_l2,primitive_rms_l2,primitive_geometric_mean_l2,maximum_relative_conservation_error,minimum_density,minimum_pressure,density_tv_excess,density_gradient_normalized_l1,gradient_concentration_width_ratio,online_seconds,maximum_cell_average_change,tv_trust_multiplier
sod,fno_operator,FNO,3,0.07488576421230225,0.2242244338724828,0.05030602544152407,0.13896917514690474,0.09131216330502026,0.05092371543088839,0.11368811875581741,0.08289213478565216,0.9242025102887835,1.8118454959814867,,0.0019203000119887292,,
sod,hllc_piecewise_constant,128-cell HLLC-PC,1,0.017986736051368073,0.07451393645159374,0.0164672739146522,0.04526595670579941,0.028050279481587146,0.0010765083993519607,0.125,0.09999999999999998,0.02102951376723881,1.6875466077327277,,0.6908924999879673,,
sod,hllc_fixed_mc_subcell,128-cell HLLC-MC,1,0.0166383400533647,0.06976568339980463,0.014320705114777486,0.042226245925796706,0.025521454220320948,0.0010765083993522695,0.125,0.09999999999999998,0.021031689394798443,0.727461902318553,,0.6908924999879673,,
sod,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,3,0.015355789503200613,0.05544293448267725,0.011094558917470616,0.03382705274820867,0.02117596556178727,0.001076508399352578,0.125,0.09999999999999998,0.0736042424937114,0.6791238712275511,,0.7116667999653146,4.440892098500626e-16,
sod,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,3,0.01596324024184173,0.06206634776443319,0.012497815068882876,0.037697267563800575,0.023135050123210436,0.001076508399352578,0.125,0.09999999999999998,0.04145232316706909,0.6645096258082723,,0.7158189999754541,4.440892098500626e-16,0.6904451965820044
sod,hllc_muscl_fine,512-cell HLLC,1,0.009760709890193101,0.044437782821271074,0.00814746085356365,0.026685633575585947,0.015231827865666864,0.0010765083993227859,0.125,0.09999999999999998,0.013188621959730236,0.5485661817310964,,3.291715400002431,,
lax,fno_operator,FNO,3,0.33840357731096815,0.22049646687890626,0.21940380367371237,0.25400885104971593,0.23545140582951604,0.16938339687575524,0.31620755791664124,0.4651997983455658,0.9695340177612607,2.8308563131562843,,0.001872900000307709,,
lax,hllc_piecewise_constant,128-cell HLLC-PC,1,0.11477446965268612,0.06245157446576335,0.034890684331898826,0.07808272939742898,0.06300370045691585,0.0006711140799757395,0.34207508023308814,0.571,0.007055050599709504,1.979835844440297,,1.1249805000261404,,
lax,hllc_fixed_mc_subcell,128-cell HLLC-MC,1,0.10614480102709924,0.055670094308114405,0.029087859880885934,0.07120857106137082,0.055600344771692484,0.0006711140799763854,0.34207508023308814,0.571,0.007188117432404951,1.7696267731509514,,1.1249805000261404,,
lax,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,3,0.1061847623475549,0.05564562546511207,0.029066969346781844,0.07122564528737482,0.05560084351765998,0.0006711140799766008,0.34207508023308814,0.571,0.007870040737490123,1.7700455294732083,,1.14869160001399,8.881784197001252e-16,
lax,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,3,0.09833358764858402,0.04532635154164995,0.02111000877661586,0.06319524474624773,0.045333641323594014,0.0006711140799766008,0.34207508023308814,0.571,0.027331879757830763,1.4710428998898877,,1.1475371000124142,1.7763568394002505e-15,0.8737557595595717
lax,hllc_muscl_fine,512-cell HLLC,1,0.05726688243188735,0.020499666293057484,0.011377334444538008,0.03572662816750365,0.023726314657762437,0.0006711140799499023,0.34306332692691377,0.571,0.007356911748392567,1.3040144975165633,,5.019764300028328,,
