case_id,case_group,method,seed_count,density_normalized_l2,velocity_normalized_l2,pressure_normalized_l2,primitive_geometric_mean_l2,maximum_relative_conservation_error,minimum_density,minimum_pressure,density_tv_excess,online_seconds,maximum_cell_average_change,mean_shock_width_10_90,maximum_shock_entropy_violation,maximum_normalized_rh_residual
id01,in_distribution,fno_operator,3,0.11425449870918149,0.29001205530062785,0.0745440146868694,0.13517634920738492,0.06378074033164383,0.5322551131248474,0.2552979290485382,0.7412317632616944,0.001969600096344948,,0.07516173168712381,0.11199000477790833,0.07388755047720964
id01,in_distribution,hllc_piecewise_constant,1,0.03027463535476688,0.09638994031904839,0.02278868217452925,0.04051445003543681,0.0014211933012203996,0.583841,0.30971399999999993,0.020141549742780155,0.3114427998661995,,0.015836787902387073,0.0,0.012865533295015774
id01,in_distribution,hllc_fixed_mc_subcell,1,0.028122996264779335,0.08379028548914075,0.01974506550418127,0.03596703294512535,0.001421193301220471,0.583841,0.30971399999999993,0.020141549742780155,0.3114427998661995,,0.013406268268754573,0.0,0.012957780114245039
id01,in_distribution,physics_gated_dkan_fv_sod_neighbourhood,3,0.028120644558625472,0.08373410833426355,0.0197315301383907,0.03595970807313249,0.001421193301220471,0.583841,0.30971399999999993,0.020141630304715413,0.3251471999101341,4.440892098500626e-16,0.013405566379957379,0.0,0.01295769685539712
id01,in_distribution,physics_gated_dkan_fv_engineering,3,0.026703455716662192,0.06608192101457709,0.015630653009724545,0.03021405970196216,0.0014211933012205425,0.583841,0.30971399999999993,0.37562153204820303,0.32777660014107823,4.440892098500626e-16,0.012599841710228099,0.0,0.012594725538291907
id01,in_distribution,hllc_muscl_fine,1,0.014494942705535143,0.03341181526387378,0.008892756721837902,0.016269879210411713,0.0014211933012337,0.583841,0.30971399999999993,0.013819928531308383,1.424083000048995,,0.0043354862135971395,0.0,0.0015423442294657205
id08,in_distribution,fno_operator,3,0.261806410686501,0.14383095857190942,0.11601288726362859,0.16899257384728208,0.048737977559924095,0.3855755031108856,0.5910593271255493,0.6462206337485121,0.0013840002939105034,,0.08067957604194509,0.0,0.052308388748108
id08,in_distribution,hllc_piecewise_constant,1,0.07464030902603871,0.03839005046650736,0.02098254505457412,0.039175699408336775,0.0026336552073693087,0.4264216538250057,0.302248,0.00957133209278199,0.6650841003283858,,0.01626179040160447,0.0,0.003959598229000388
id08,in_distribution,hllc_fixed_mc_subcell,1,0.07636226441511684,0.03921745787587537,0.02211152013440412,0.04045686993394271,0.0026336552073682835,0.4264216538250057,0.302248,0.009579135870575795,0.6650841003283858,,0.014249453539298407,0.0,0.0011630230013877087
id08,in_distribution,physics_gated_dkan_fv_sod_neighbourhood,3,0.07644093247161236,0.0392353911254615,0.022140373772689063,0.04050095776054282,0.0026336552073686938,0.4264216538250057,0.302248,0.009848798546897441,0.6785552003420889,4.440892098500626e-16,0.014253343344397651,0.0,0.0011471546890972134
id08,in_distribution,physics_gated_dkan_fv_engineering,3,0.08233563272349181,0.03985200764582075,0.022990557097833965,0.04224253843907132,0.002633655207368899,0.4264216538250057,0.302248,0.6622260178679794,0.6793377003632486,4.440892098500626e-16,0.013766253750362,0.0,0.001118235017642546
id08,in_distribution,hllc_muscl_fine,1,0.04531528538071945,0.015701412072754,0.010266693458772585,0.019403109831041432,0.0026336552074004834,0.42731852645599566,0.302248,0.008885559907853014,3.18723740009591,,0.004596495441503201,0.0,3.755578100526291e-05
id11,in_distribution,fno_operator,3,0.24312748035754844,0.27518569468206777,0.1278927382226169,0.1955080425029523,0.07155223575388711,0.4192821681499481,0.02362944558262825,0.32720226949578396,0.0016932999715209007,,0.06438804005442134,0.0,0.585535215488158
id11,in_distribution,hllc_piecewise_constant,1,0.07107161928790885,0.07221533313393268,0.016189995655162874,0.04363725805467193,0.001842739793919196,0.5511715137952244,0.028323000000000004,0.0038847425950418435,0.2633723998442292,,0.031003303504687052,0.0,0.014179046498983857
id11,in_distribution,hllc_fixed_mc_subcell,1,0.07026735686899303,0.07175574907758497,0.01550918573294309,0.04276283004114399,0.0018427397939196246,0.5511715137952244,0.028323000000000004,0.0038847425950419862,0.2633723998442292,,0.028385652736874767,0.0,0.009792036719121683
id11,in_distribution,physics_gated_dkan_fv_sod_neighbourhood,3,0.07056640192410027,0.07176519695432648,0.015525335758243837,0.042842215178789264,0.0018427397939193607,0.5511715137952244,0.028323000000000004,0.06421428007170264,0.2788749998435378,2.220446049250313e-16,0.0274995838015909,0.0,0.00974751803229576
id11,in_distribution,physics_gated_dkan_fv_engineering,3,0.07015662210209321,0.07235608651837895,0.01692371727812104,0.04412450372030461,0.0018427397939197894,0.5511715137952244,0.028323000000000004,0.3642584244411435,0.2785537000745535,2.220446049250313e-16,0.02482421601974505,0.0,0.007680957991595823
id11,in_distribution,hllc_muscl_fine,1,0.039163329812608096,0.029506263808281603,0.005919743178904893,0.018983031378237366,0.001842739793933475,0.555288070573936,0.028323000000000004,0.006198097023768769,1.2667662999592721,,0.010134471865037464,0.0,3.6504082353095366e-05
id18,in_distribution,fno_operator,3,0.10991701502268296,0.2453339675061127,0.07844703040381197,0.1232748478039908,0.09852454474999604,0.35394126176834106,0.23080699145793915,0.7198665968051201,0.0013814996927976608,,0.06859530037782768,0.11302632093429565,0.05699993867819502
id18,in_distribution,hllc_piecewise_constant,1,0.03791921621149442,0.09837860924594982,0.025400202758223106,0.04558959541005032,0.0015169592076027308,0.392463,0.283836,0.010441149596665367,0.30943020014092326,,0.009553433488576846,0.0,0.0029592325643008188
id18,in_distribution,hllc_fixed_mc_subcell,1,0.03396636726870749,0.08359664985003896,0.020810792229127992,0.0389501256158754,0.0015169592076016496,0.392463,0.283836,0.010441149596665367,0.30943020014092326,,0.013210822497103814,0.0,0.0032011892713887983
id18,in_distribution,physics_gated_dkan_fv_sod_neighbourhood,3,0.03219474150583792,0.07679855226649143,0.01890843894298131,0.036024493526838966,0.0015169592076017698,0.392463,0.283836,0.013289281716865975,0.3242083000950515,4.440892098500626e-16,0.013210733150572307,0.0,0.0032013609862936165
id18,in_distribution,physics_gated_dkan_fv_engineering,3,0.02799413224107922,0.04385983816120954,0.011160235788458919,0.023889381598821327,0.00151695920760189,0.392463,0.283836,0.3166311973857649,0.3233917001634836,4.440892098500626e-16,0.013148710325264878,0.0,0.0033130160535077904
id18,in_distribution,hllc_muscl_fine,1,0.017073204078795565,0.030521947947805394,0.008879293607002393,0.016663589761780923,0.001516959207612341,0.392463,0.283836,0.004629650446219593,1.4863651003688574,,0.004281019913099482,0.0,0.00019222014134001098
stress01,stress,fno_operator,3,0.18966110568452796,0.25518382468502615,0.12740701603600105,0.17666058876176888,0.13283123861786217,0.08591478317975998,0.009608425199985504,1.7605123585581022,0.0017676996067166328,,0.07635210251647273,0.0,0.209825807299097
stress01,stress,hllc_piecewise_constant,1,0.04488026940058191,0.11479324055195222,0.0161051613261536,0.04361597817984194,0.0028571493703635742,0.1,0.01,0.0,0.34134670021012425,,0.039321987764183386,0.0,0.02607621244831526
stress01,stress,hllc_fixed_mc_subcell,1,0.04297913367120221,0.10965701787671173,0.013911423189967338,0.04032322106990137,0.002857149370364129,0.1,0.01,0.0,0.34134670021012425,,0.03903555764824329,0.0,0.014764637868141344
stress01,stress,physics_gated_dkan_fv_sod_neighbourhood,3,0.043127862586696805,0.10950182828101401,0.013942722295180983,0.040380865917043846,0.0028571493703638514,0.1,0.01,0.005518099402161235,0.35959620028734207,1.7763568394002505e-15,0.0390610908429313,0.0,0.014224954749311727
stress01,stress,physics_gated_dkan_fv_engineering,3,0.03965619926684211,0.10501086538439885,0.012655093476775379,0.03743605608768684,0.0028571493703638514,0.1,0.01,0.21236355148916458,0.3567395000718534,1.7763568394002505e-15,0.04135550227157592,0.0,0.011402154457852766
stress01,stress,hllc_muscl_fine,1,0.02019295553868842,0.04536659786494945,0.0049607380720586725,0.01656383132280947,0.0028571493703901966,0.1,0.01,0.010702107450443416,1.6907481998205185,,0.04444479358898745,0.0,5.283361638277899e-05
stress04,stress,fno_operator,3,0.2451951323746042,0.6497916160757827,0.35734121747168507,0.38268122239192326,0.5317247682470894,0.593622624874115,0.464849054813385,3.1233061079140856,0.0015461002476513386,,0.14009463089238938,0.039741963148117065,0.4792115425191559
stress04,stress,hllc_piecewise_constant,1,0.02950362332691917,0.07297280862729989,0.04164601733569656,0.04475792705072193,0.0011586260628346427,1.0,1.0,0.16758665102309958,0.24446900002658367,,0.01613833702642198,0.0,0.008629297819020037
stress04,stress,hllc_fixed_mc_subcell,1,0.02507417204088651,0.06297539034214054,0.03537970194335025,0.038228202667907336,0.0011586260628355717,1.0,1.0,0.16758665102309958,0.24446900002658367,,0.013880067581077099,0.0,0.021610345281196125
stress04,stress,physics_gated_dkan_fv_sod_neighbourhood,3,0.025070232044071376,0.06296445792465415,0.03537399246243779,0.03822193184987028,0.001158626062835439,1.0,1.0,0.16758665102309958,0.25799749977886677,8.881784197001252e-16,0.013879861491659984,0.0,0.021610313298240313
stress04,stress,physics_gated_dkan_fv_engineering,3,0.022883338453753555,0.05725250655914242,0.0322331670674545,0.0348234896499774,0.0011586260628355717,1.0,1.0,0.16758665102309958,0.26197850005701184,8.881784197001252e-16,0.013598867702385276,0.0,0.021606394565712218
stress04,stress,hllc_muscl_fine,1,0.013650089235439377,0.02938668101192309,0.01999467019058379,0.020017050802801174,0.0011586260628402166,1.0,1.0,0.20903844494735335,1.2326341001316905,,0.003927891048666199,0.0,0.006188134536426155
stress05,stress,fno_operator,3,0.3832934906061044,2.1654931746906745,0.5387356254228871,0.7646945344816821,2.9473900791616647,0.19953851401805878,0.25282809138298035,2.8725093379616378,0.0013820999301970005,,0.16,0.0,0.9982575457748781
stress05,stress,hllc_piecewise_constant,1,0.014689801345134803,0.06712111062301691,0.014990299465141162,0.02454116197634749,0.0005713218070654177,0.2,0.09999999999999998,0.027991940406862297,0.3201159001328051,,0.016140906905938113,0.0,0.0051099384093100915
stress05,stress,hllc_fixed_mc_subcell,1,0.014952492137039114,0.06840730008053063,0.014825402187389414,0.024751840938815023,0.0005713218070650752,0.2,0.09999999999999998,0.028001637597261163,0.3201159001328051,,0.013847000512236779,0.0,0.0016571984870638065
stress05,stress,physics_gated_dkan_fv_sod_neighbourhood,3,0.015025816936259507,0.06852516898101758,0.014898554708224267,0.0248471996462405,0.0005713218070657601,0.2,0.09999999999999998,0.037885725865489606,0.3349577998742461,4.440892098500626e-16,0.013811651685415205,0.0,0.0016386469872970593
stress05,stress,physics_gated_dkan_fv_engineering,3,0.016287005143956448,0.06978389224999347,0.01693926407646681,0.026819726570404493,0.0005713218070657601,0.2,0.09999999999999998,0.6861790132391543,0.33520179986953735,2.220446049250313e-16,0.013795850450445152,0.0,0.0015142043645111774
stress05,stress,hllc_muscl_fine,1,0.006431437640080203,0.03057474601601454,0.006252855342780085,0.010713131461893602,0.0005713218070851094,0.2,0.09999999999999998,0.016294424153531845,1.4455977999605238,,0.004489016140183488,0.0,8.579510525786678e-06
stress10,stress,fno_operator,3,0.08014943522875519,0.2613246070179992,0.06484677969212235,0.10677165089520009,0.0655784916214549,0.1440095156431198,0.1049971729516983,0.892783965383247,0.0015147998929023743,,0.16,0.03926956653594971,0.08292340949674376
stress10,stress,hllc_piecewise_constant,1,0.017487305122762913,0.05702437414211416,0.013896049101506923,0.024019184147052095,0.0002232952415241511,0.125,0.09999999999999998,0.01875115226552108,0.48904910031706095,,0.016087007881278148,0.0,0.00843931806008488
stress10,stress,hllc_fixed_mc_subcell,1,0.01688279814611292,0.05809255594617618,0.01363305530936732,0.023734825140035304,0.00022329524152501481,0.125,0.09999999999999998,0.01875115226552108,0.48904910031706095,,0.013840212659326667,0.0,0.004921773841414271
stress10,stress,physics_gated_dkan_fv_sod_neighbourhood,3,0.016851116576719186,0.05871257334741267,0.014033391748033367,0.02403481678542953,0.00022329524152464467,0.125,0.09999999999999998,0.021294528621947768,0.5010167006403208,4.440892098500626e-16,0.01358308031673372,0.0,0.00372306950820458
stress10,stress,physics_gated_dkan_fv_engineering,3,0.01759352206156524,0.060279921229699066,0.015166712848872112,0.025242884304849257,0.0002232952415241511,0.125,0.09999999999999998,0.11035106503640436,0.5043338001705706,4.440892098500626e-16,0.013144947919939476,0.0,0.0017915020138349312
stress10,stress,hllc_muscl_fine,1,0.009868938992545017,0.03516371882351188,0.007362815915604204,0.013671087673332478,0.000223295241499474,0.125,0.09999999999999998,0.01170508425167745,2.475279300007969,,0.003902576265418789,0.0,1.6339735620504266e-06
