case_id,time,time_fraction,method,density_loss,velocity_loss,pressure_loss,case_evaluation_loss
stress05,0.015,0.08333333333333333,fno_operator,0.2554741695861784,1.9128496722786221,0.26839295522480566,0.5080810334627176
stress05,0.015,0.08333333333333333,hllc_piecewise_constant,0.022039392331272726,0.2847181023631541,0.025086640126161658,0.053994857425939055
stress05,0.015,0.08333333333333333,hllc_fixed_mc_subcell,0.017646546680461485,0.24204933802032513,0.01985196485704043,0.043932816058093425
stress05,0.015,0.08333333333333333,physics_gated_dkan_fv_sod_neighbourhood,0.017590863905918658,0.24116165236979092,0.019767830831577845,0.04377083300527766
stress05,0.015,0.08333333333333333,physics_gated_dkan_fv_engineering,0.017278842867676787,0.23984816170551201,0.01941148702400144,0.04316879755670892
stress05,0.015,0.08333333333333333,hllc_muscl_fine,0.009214942526481603,0.16092418721901058,0.008811824474411097,0.023553742940504555
stress05,0.03,0.16666666666666666,fno_operator,0.24837024593443593,1.6342023018477183,0.29124114459642153,0.4907790754493484
stress05,0.03,0.16666666666666666,hllc_piecewise_constant,0.020246902838320736,0.1828334920131712,0.02221127615610852,0.043483980090086916
stress05,0.03,0.16666666666666666,hllc_fixed_mc_subcell,0.016525705824949045,0.15607753827746051,0.01763000289123387,0.0356931000405426
stress05,0.03,0.16666666666666666,physics_gated_dkan_fv_sod_neighbourhood,0.01650567116111362,0.15600537221322128,0.017600905740986366,0.03565353422150254
stress05,0.03,0.16666666666666666,physics_gated_dkan_fv_engineering,0.01689009301298958,0.1564723187091764,0.018274986332396694,0.0364173947243901
stress05,0.03,0.16666666666666666,hllc_muscl_fine,0.006724522158997998,0.06478276923105454,0.006879641182981083,0.014417686405237023
stress05,0.045,0.25,fno_operator,0.2492634529184403,1.5567430550058048,0.3099048989671664,0.49359186695786894
stress05,0.045,0.25,hllc_piecewise_constant,0.0205223378224477,0.16927120646298774,0.021635504409336787,0.04220128245202986
stress05,0.045,0.25,hllc_fixed_mc_subcell,0.016514404056302442,0.14385863402501484,0.016948696818419654,0.03427507258399578
stress05,0.045,0.25,physics_gated_dkan_fv_sod_neighbourhood,0.016488876890653207,0.14369080607715937,0.016918763835563923,0.034223904993466885
stress05,0.045,0.25,physics_gated_dkan_fv_engineering,0.01629379497189107,0.13566617492149458,0.01739106757712219,0.033749967326546226
stress05,0.045,0.25,hllc_muscl_fine,0.006706051394091246,0.06659694265641758,0.0064177676284764154,0.014204797685484757
stress05,0.06,0.3333333333333333,fno_operator,0.25484691262573095,1.5414170065339887,0.32765881884123144,0.5049020431078481
stress05,0.06,0.3333333333333333,hllc_piecewise_constant,0.019811905151265054,0.15089526242080367,0.020298778033982577,0.03929680542378574
stress05,0.06,0.3333333333333333,hllc_fixed_mc_subcell,0.016901761782567852,0.1347082608856639,0.01680091775134133,0.03369403871029521
stress05,0.06,0.3333333333333333,physics_gated_dkan_fv_sod_neighbourhood,0.01689010224584414,0.13459342941276065,0.01678360609390192,0.03366514364931696
stress05,0.06,0.3333333333333333,physics_gated_dkan_fv_engineering,0.017614395997169477,0.13464198546544554,0.018154779163490814,0.035049331938601935
stress05,0.06,0.3333333333333333,hllc_muscl_fine,0.008799923775082534,0.0788338757415094,0.008194180531518753,0.017847022544503467
stress05,0.075,0.4166666666666667,fno_operator,0.2669208670496301,1.5561317302777893,0.3452530394390732,0.5234262095008974
stress05,0.075,0.4166666666666667,hllc_piecewise_constant,0.01860897339771334,0.12302990989433012,0.019191793877970813,0.035287121314777056
stress05,0.075,0.4166666666666667,hllc_fixed_mc_subcell,0.01574937757144299,0.10684836153461832,0.01587670464846447,0.029894907166741123
stress05,0.075,0.4166666666666667,physics_gated_dkan_fv_sod_neighbourhood,0.015681439475049356,0.10633242634570042,0.01580735207465091,0.029760274006251298
stress05,0.075,0.4166666666666667,physics_gated_dkan_fv_engineering,0.016298357007315578,0.10535712087898236,0.017094951413105863,0.030847871074348516
stress05,0.075,0.4166666666666667,hllc_muscl_fine,0.006584177488290989,0.040183049164024154,0.006688076003187794,0.012095259933563444
stress05,0.09,0.5,fno_operator,0.2850334867644659,1.5908182548236958,0.36606384212807475,0.5495717855078494
stress05,0.09,0.5,hllc_piecewise_constant,0.015461174153146165,0.09778706562047086,0.016055355295966873,0.02895440216456925
stress05,0.09,0.5,hllc_fixed_mc_subcell,0.015165336757654023,0.09877010910572359,0.015081889232537908,0.028269043425234543
stress05,0.09,0.5,physics_gated_dkan_fv_sod_neighbourhood,0.01518155063836561,0.0988175048595583,0.015093599740623881,0.028290955467345693
