case_id,time,time_fraction,x,exact_density,cse_density,absolute_density_error,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,physics_gated_dkan_fv_engineering_density,physics_gated_dkan_fv_engineering_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
stress04,0.0,0.0,0.0009765625,1.0,1.0,0.0,0.00914884517635925,0.95086783,0.04913216829299927,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0029296875,1.0,1.0,0.0,0.00914884517635925,0.98242235,0.017577648162841797,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0048828125,1.0,1.0,0.0,0.00914884517635925,1.0137546,0.013754606246948242,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0068359375,1.0,1.0,0.0,0.00914884517635925,1.0434262,0.04342615604400635,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0087890625,1.0,1.0,0.0,0.00914884517635925,1.0701661,0.07016611099243164,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0107421875,1.0,1.0,0.0,0.00914884517635925,1.092967,0.09296703338623047,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0126953125,1.0,1.0,0.0,0.00914884517635925,1.1111158,0.11111581325531006,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0146484375,1.0,1.0,0.0,0.00914884517635925,1.12418,0.12417995929718018,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0166015625,1.0,1.0,0.0,0.00914884517635925,1.1319618,0.13196182250976562,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0185546875,1.0,1.0,0.0,0.00914884517635925,1.1344419,0.13444185256958008,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0205078125,1.0,1.0,0.0,0.00914884517635925,1.1317325,0.13173246383666992,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0224609375,1.0,1.0,0.0,0.00914884517635925,1.1240537,0.1240537166595459,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0244140625,1.0,1.0,0.0,0.00914884517635925,1.1117425,0.11174249649047852,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0263671875,1.0,1.0,0.0,0.00914884517635925,1.0952902,0.0952901840209961,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0283203125,1.0,1.0,0.0,0.00914884517635925,1.0753855,0.0753854513168335,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0302734375,1.0,1.0,0.0,0.00914884517635925,1.0529338,0.05293381214141846,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0322265625,1.0,1.0,0.0,0.00914884517635925,1.0290321,0.029032111167907715,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0341796875,1.0,1.0,0.0,0.00914884517635925,1.0048951,0.0048950910568237305,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0361328125,1.0,1.0,0.0,0.00914884517635925,0.9817491,0.018250882625579834,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0380859375,1.0,1.0,0.0,0.00914884517635925,0.9607258,0.03927421569824219,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress04,0.0,0.0,0.0400390625,1.0,1.0,0.0,0.00914884517635925,0.942772,0.057228028774261475,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
