case_id,time,time_fraction,x,exact_density,cse_density,absolute_density_error,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,physics_gated_dkan_fv_engineering_density,physics_gated_dkan_fv_engineering_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
stress10,0.0,0.0,0.0009765625,1.0,1.0,0.0,0.00027586359855125354,0.57502735,0.42497265338897705,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0029296875,1.0,1.0,0.0,0.00027586359855125354,0.61764246,0.38235753774642944,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0048828125,1.0,1.0,0.0,0.00027586359855125354,0.65922856,0.3407714366912842,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0068359375,1.0,1.0,0.0,0.00027586359855125354,0.6982087,0.30179131031036377,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0087890625,1.0,1.0,0.0,0.00027586359855125354,0.73344046,0.26655954122543335,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0107421875,1.0,1.0,0.0,0.00027586359855125354,0.74509543,0.254904568195343,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0126953125,1.0,1.0,0.0,0.00027586359855125354,0.7403934,0.25960659980773926,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0146484375,1.0,1.0,0.0,0.00027586359855125354,0.7350763,0.26492369174957275,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0166015625,1.0,1.0,0.0,0.00027586359855125354,0.7307067,0.26929330825805664,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0185546875,1.0,1.0,0.0,0.00027586359855125354,0.7359793,0.2640206813812256,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0205078125,1.0,1.0,0.0,0.00027586359855125354,0.7512915,0.24870848655700684,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0224609375,1.0,1.0,0.0,0.00027586359855125354,0.7664986,0.2335013747215271,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0244140625,1.0,1.0,0.0,0.00027586359855125354,0.78190374,0.21809625625610352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0263671875,1.0,1.0,0.0,0.00027586359855125354,0.7977637,0.20223629474639893,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0283203125,1.0,1.0,0.0,0.00027586359855125354,0.8142922,0.18570780754089355,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0302734375,1.0,1.0,0.0,0.00027586359855125354,0.8316574,0.16834259033203125,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
stress10,0.0,0.0,0.0322265625,1.0,1.0,0.0,0.00027586359855125354,0.84997195,0.1500280499458313,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
