x,reference_density,fno_operator_density,hllc_piecewise_constant_density,hllc_fixed_mc_subcell_density,physics_gated_dkan_fv_sod_neighbourhood_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,hllc_muscl_fine_density,reference_velocity,fno_operator_velocity,hllc_piecewise_constant_velocity,hllc_fixed_mc_subcell_velocity,physics_gated_dkan_fv_sod_neighbourhood_velocity,sensor_gated_dkan_fv_engineering_tv_trust_0.02_velocity,hllc_muscl_fine_velocity,reference_pressure,fno_operator_pressure,hllc_piecewise_constant_pressure,hllc_fixed_mc_subcell_pressure,physics_gated_dkan_fv_sod_neighbourhood_pressure,sensor_gated_dkan_fv_engineering_tv_trust_0.02_pressure,hllc_muscl_fine_pressure
0.0009765625,1.4,0.6607964038848877,1.4,1.4,1.4,1.4,1.4,0.35,0.5857646465301514,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.44354248046875,1.0,1.0,1.0,1.0,1.0
0.0029296875,1.4,0.6578543186187744,1.4,1.4,1.4,1.4,1.4,0.35,0.5932176113128662,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.4355032444000244,1.0,1.0,1.0,1.0,1.0
0.0048828125,1.4,0.6537018418312073,1.4,1.4,1.4,1.4,1.4,0.35,0.6013749837875366,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.4264519214630127,1.0,1.0,1.0,1.0,1.0
0.0068359375,1.4,0.6487331390380859,1.4,1.4,1.4,1.4,1.4,0.35,0.6097805500030518,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.416611671447754,1.0,1.0,1.0,1.0,1.0
0.0087890625,1.4,0.6433938145637512,1.4,1.4,1.4,1.4,1.4,0.35,0.6180031299591064,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.4062355756759644,1.0,1.0,1.0,1.0,1.0
0.0107421875,1.4,0.6424869894981384,1.4,1.4,1.4,1.4,1.4,0.35,0.6256571412086487,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.395603895187378,1.0,1.0,1.0,1.0,1.0
0.0126953125,1.4,0.6458667516708374,1.4,1.4,1.4,1.4,1.4,0.35,0.6324211359024048,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3850109577178955,1.0,1.0,1.0,1.0,1.0
0.0146484375,1.4,0.6489903926849365,1.4,1.4,1.4,1.4,1.4,0.35,0.6380513906478882,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3747515678405762,1.0,1.0,1.0,1.0,1.0
0.0166015625,1.4,0.6518134474754333,1.4,1.4,1.4,1.4,1.4,0.35,0.6423912048339844,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.365103006362915,1.0,1.0,1.0,1.0,1.0
0.0185546875,1.4,0.6542654633522034,1.4,1.4,1.4,1.4,1.4,0.35,0.6453753709793091,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3563077449798584,1.0,1.0,1.0,1.0,1.0
0.0205078125,1.4,0.6562485694885254,1.4,1.4,1.4,1.4,1.4,0.35,0.6470293998718262,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3485575914382935,1.0,1.0,1.0,1.0,1.0
0.0224609375,1.4,0.65764319896698,1.4,1.4,1.4,1.4,1.4,0.35,0.6474632024765015,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3419840335845947,1.0,1.0,1.0,1.0,1.0
0.0244140625,1.4,0.6583203077316284,1.4,1.4,1.4,1.4,1.4,0.35,0.646859884262085,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3366526365280151,1.0,1.0,1.0,1.0,1.0
0.0263671875,1.4,0.6581599712371826,1.4,1.4,1.4,1.4,1.4,0.35,0.6454606056213379,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3325679302215576,1.0,1.0,1.0,1.0,1.0
0.0283203125,1.4,0.6570737957954407,1.4,1.4,1.4,1.4,1.4,0.35,0.6435458660125732,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3296822309494019,1.0,1.0,1.0,1.0,1.0
0.0302734375,1.4,0.6550266146659851,1.4,1.4,1.4,1.4,1.4,0.35,0.6414139270782471,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3279069662094116,1.0,1.0,1.0,1.0,1.0
0.0322265625,1.4,0.6592573523521423,1.4,1.4,1.4,1.4,1.4,0.35,0.6393592357635498,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.327129602432251,1.0,1.0,1.0,1.0,1.0
0.0341796875,1.4,0.6688828468322754,1.4,1.4,1.4,1.4,1.4,0.35,0.6376527547836304,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.327222466468811,1.0,1.0,1.0,1.0,1.0
0.0361328125,1.4,0.6790729761123657,1.4,1.4,1.4,1.4,1.4,0.35,0.6365224123001099,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3280532360076904,1.0,1.0,1.0,1.0,1.0
0.0380859375,1.4,0.6895332336425781,1.4,1.4,1.4,1.4,1.4,0.35,0.636137843132019,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3294856548309326,1.0,1.0,1.0,1.0,1.0
0.0400390625,1.4,0.6999492645263672,1.4,1.4,1.4,1.4,1.4,0.35,0.6346221566200256,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3313771486282349,1.0,1.0,1.0,1.0,1.0
0.0419921875,1.4,0.7100001573562622,1.4,1.4,1.4,1.4,1.4,0.35,0.6315871477127075,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3335758447647095,1.0,1.0,1.0,1.0,1.0
0.0439453125,1.4,0.7193694114685059,1.4,1.4,1.4,1.4,1.4,0.35,0.6294703483581543,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.335914134979248,1.0,1.0,1.0,1.0,1.0
0.0458984375,1.4,0.7277612090110779,1.4,1.4,1.4,1.4,1.4,0.35,0.6282827258110046,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3382086753845215,1.0,1.0,1.0,1.0,1.0
0.0478515625,1.4,0.7349148392677307,1.4,1.4,1.4,1.4,1.4,0.35,0.6331550478935242,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3402628898620605,1.0,1.0,1.0,1.0,1.0
0.0498046875,1.4,0.7406172752380371,1.4,1.4,1.4,1.4,1.4,0.35,0.6394647359848022,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.341876745223999,1.0,1.0,1.0,1.0,1.0
0.0517578125,1.4,0.7447144985198975,1.4,1.4,1.4,1.4,1.4,0.35,0.6455890536308289,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3428614139556885,1.0,1.0,1.0,1.0,1.0
0.0537109375,1.4,0.7471181154251099,1.4,1.4,1.4,1.4,1.4,0.35,0.6513589024543762,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3430538177490234,1.0,1.0,1.0,1.0,1.0
0.0556640625,1.4,0.7478076219558716,1.4,1.4,1.4,1.4,1.4,0.35,0.6566439867019653,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3423364162445068,1.0,1.0,1.0,1.0,1.0
0.0576171875,1.4,0.7468316555023193,1.4,1.4,1.4,1.4,1.4,0.35,0.6613548994064331,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.340646743774414,1.0,1.0,1.0,1.0,1.0
0.0595703125,1.4,0.7443035244941711,1.4,1.4,1.4,1.4,1.4,0.35,0.66309654712677,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.3379873037338257,1.0,1.0,1.0,1.0,1.0
0.0615234375,1.4,0.7403969168663025,1.4,1.4,1.4,1.4,1.4,0.35,0.6634770631790161,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.334428310394287,1.0,1.0,1.0,1.0,1.0
0.0634765625,1.4,0.7353363633155823,1.4,1.4,1.4,1.4,1.4,0.35,0.662962794303894,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.330100417137146,1.0,1.0,1.0,1.0,1.0
0.0654296875,1.4,0.7293886542320251,1.4,1.4,1.4,1.4,1.4,0.35,0.6616439819335938,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.3499999999999999,1.0,1.325186014175415,1.0,1.0,1.0,1.0,1.0
