case_id,time,time_fraction,x,exact_density,cse_density,absolute_density_error,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,physics_gated_dkan_fv_engineering_density,physics_gated_dkan_fv_engineering_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
id01,0.0,0.0,0.0009765625,1.061685,1.061685,0.0,7.346582826404047e-05,1.1129541,0.051269139709472666,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0029296875,1.061685,1.061685,0.0,7.346582826404047e-05,1.1475669,0.08588191455841065,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0048828125,1.061685,1.061685,0.0,7.346582826404047e-05,1.1792564,0.11757143920898439,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0068359375,1.061685,1.061685,0.0,7.346582826404047e-05,1.2064626,0.14477762168884278,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0087890625,1.061685,1.061685,0.0,7.346582826404047e-05,1.2279973,0.1663123030090332,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0107421875,1.061685,1.061685,0.0,7.346582826404047e-05,1.2431577,0.18147274440765382,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0126953125,1.061685,1.061685,0.0,7.346582826404047e-05,1.2517501,0.19006511157989503,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0146484375,1.061685,1.061685,0.0,7.346582826404047e-05,1.2540213,0.19233628696441651,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0166015625,1.061685,1.061685,0.0,7.346582826404047e-05,1.2505492,0.18886419719696046,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0185546875,1.061685,1.061685,0.0,7.346582826404047e-05,1.2421148,0.18042978233337403,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0205078125,1.061685,1.061685,0.0,7.346582826404047e-05,1.2295887,0.16790374702453614,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0224609375,1.061685,1.061685,0.0,7.346582826404047e-05,1.2138451,0.15216013378143312,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0244140625,1.061685,1.061685,0.0,7.346582826404047e-05,1.1957037,0.13401874488830567,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0263671875,1.061685,1.061685,0.0,7.346582826404047e-05,1.175899,0.11421402877807618,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0283203125,1.061685,1.061685,0.0,7.346582826404047e-05,1.1550708,0.09338578170776368,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0302734375,1.061685,1.061685,0.0,7.346582826404047e-05,1.1337787,0.07209369129180909,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0322265625,1.061685,1.061685,0.0,7.346582826404047e-05,1.112529,0.05084403938293458,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0341796875,1.061685,1.061685,0.0,7.346582826404047e-05,1.0918174,0.030132378997802745,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0361328125,1.061685,1.061685,0.0,7.346582826404047e-05,1.0721651,0.010480131568908702,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
id01,0.0,0.0,0.0380859375,1.061685,1.061685,0.0,7.346582826404047e-05,1.0541476,0.007537398872375478,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0,1.061685,0.0
