x,reference_density,fno_operator_density,hllc_piecewise_constant_density,hllc_fixed_mc_subcell_density,physics_gated_dkan_fv_sod_neighbourhood_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,hllc_muscl_fine_density,reference_velocity,fno_operator_velocity,hllc_piecewise_constant_velocity,hllc_fixed_mc_subcell_velocity,physics_gated_dkan_fv_sod_neighbourhood_velocity,sensor_gated_dkan_fv_engineering_tv_trust_0.02_velocity,hllc_muscl_fine_velocity,reference_pressure,fno_operator_pressure,hllc_piecewise_constant_pressure,hllc_fixed_mc_subcell_pressure,physics_gated_dkan_fv_sod_neighbourhood_pressure,sensor_gated_dkan_fv_engineering_tv_trust_0.02_pressure,hllc_muscl_fine_pressure
0.0009765625,0.8000037649434798,1.060073971748352,0.800579147134102,0.800579147134102,0.800579147134102,0.800579147134102,0.800075712436405,1.0,0.9425983428955078,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,1.0,1.0,1.5687150955200195,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999187
0.0029296875,0.8000338836408353,1.064569115638733,0.800579147134102,0.800579147134102,0.800579147134102,0.800579147134102,0.8001039593750405,1.0,0.9370304346084595,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,1.0000000000000007,1.0,1.572161316871643,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999181
0.0048828125,0.8000941164997813,1.0689157247543335,0.800579147134102,0.800579147134102,0.800579147134102,0.800579147134102,0.800152972527467,1.0,0.9324445724487305,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,1.0000000000000018,1.0,1.5764020681381226,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999183
0.0068359375,0.800184454449471,1.072941541671753,0.800579147134102,0.800579147134102,0.800579147134102,0.800579147134102,0.8002272151056014,1.0,0.9289087057113647,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,1.000000000000002,1.0,1.5815054178237915,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999187
0.0087890625,0.800304883885341,1.0764726400375366,0.8009225524641796,0.8007118769924284,0.8007092124576409,0.8007118769924284,0.8003305447105508,1.0,0.9264408349990845,0.9999999999999996,0.9999999999999993,0.9999999999999993,0.9999999999999993,1.000000000000002,1.0,1.5874783992767334,0.99999999999998,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999186
0.0107421875,0.8004553866711617,1.079342246055603,0.8009225524641796,0.8008523273069292,0.8008468432501923,0.8008523273069292,0.8004658791660583,1.0,0.9250103235244751,0.9999999999999996,0.9999999999999994,0.9999999999999994,0.9999999999999994,1.0000000000000018,1.0,1.5942617654800415,0.99999999999998,0.9999999999999802,0.9999999999999802,0.9999999999999802,0.9999999999999192
0.0126953125,0.8006359401417669,1.0814054012298584,0.8009225524641796,0.8009927776214301,0.8009844740427436,0.8009927776214301,0.8006350140611802,1.0,0.9245404005050659,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0000000000000024,1.0,1.6017357110977173,0.99999999999998,0.99999999999998,0.99999999999998,0.99999999999998,0.9999999999999186
0.0146484375,0.800846517106468,1.0825480222702026,0.8009225524641796,0.8011332279359309,0.8011496801061416,0.8011332279359309,0.8008386112592105,1.0,0.9249145984649658,0.9999999999999996,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0000000000000013,1.0,1.6097279787063599,0.99999999999998,0.9999999999999799,0.9999999999999799,0.9999999999999799,0.9999999999999196
0.0166015625,0.8010870858531489,1.0827016830444336,0.8017027496501086,0.8013154291986804,0.8013136864150399,0.8013154291986804,0.8010763626152404,1.0,0.9259843826293945,1.0000000000000013,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000013,1.0,1.618030309677124,0.999999999999979,0.9999999999999791,0.9999999999999791,0.9999999999999791,0.9999999999999198
0.0185546875,0.8013576101530411,1.0818448066711426,0.8017027496501086,0.8015736428329658,0.8015712888562524,0.8015736428329658,0.8013472861352189,1.0,0.927579402923584,1.0000000000000013,1.0000000000000013,1.0000000000000013,1.0000000000000013,1.0000000000000016,1.0,1.626413106918335,0.999999999999979,0.999999999999979,0.999999999999979,0.999999999999979,0.9999999999999204
