x,reference_density,fno_operator_density,hllc_piecewise_constant_density,hllc_fixed_mc_subcell_density,physics_gated_dkan_fv_sod_neighbourhood_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,hllc_muscl_fine_density,reference_velocity,fno_operator_velocity,hllc_piecewise_constant_velocity,hllc_fixed_mc_subcell_velocity,physics_gated_dkan_fv_sod_neighbourhood_velocity,sensor_gated_dkan_fv_engineering_tv_trust_0.02_velocity,hllc_muscl_fine_velocity,reference_pressure,fno_operator_pressure,hllc_piecewise_constant_pressure,hllc_fixed_mc_subcell_pressure,physics_gated_dkan_fv_sod_neighbourhood_pressure,sensor_gated_dkan_fv_engineering_tv_trust_0.02_pressure,hllc_muscl_fine_pressure
0.0458984375,1.0,1.0030895471572876,1.0,1.0,1.0,1.0,1.0,0.6,0.4708567261695862,0.6,0.6,0.6,0.6,0.6,1.0,0.9333306550979614,1.0,1.0,1.0,1.0,1.0
0.0478515625,1.0,0.9898925423622131,1.0,1.0,1.0,1.0,1.0,0.6,0.474187433719635,0.6,0.6,0.6,0.6,0.6,1.0,0.9355900883674622,1.0,1.0,1.0,1.0,1.0
0.0498046875,1.0,0.9771738648414612,1.0,1.0,1.0,1.0,1.0,0.6,0.4773373603820801,0.6,0.6,0.6,0.6,0.6,1.0,0.9383365511894226,1.0,1.0,1.0,1.0,1.0
0.0517578125,1.0,0.9655138254165649,1.0,1.0,1.0,1.0,1.0,0.6,0.48011061549186707,0.6,0.6,0.6,0.6,0.6,1.0,0.9415084719657898,1.0,1.0,1.0,1.0,1.0
0.0537109375,1.0,0.9648721814155579,1.0,1.0,1.0,1.0,1.0,0.6,0.48238950967788696,0.6,0.6,0.6,0.6,0.6,1.0,0.9450950026512146,1.0,1.0,1.0,1.0,1.0
0.0556640625,1.0,0.9780020713806152,1.0,1.0,1.0,1.0,1.0,0.6,0.4841665029525757,0.6,0.6,0.6,0.6,0.6,1.0,0.9491154551506042,1.0,1.0,1.0,1.0,1.0
0.0576171875,1.0,0.994001567363739,1.0,1.0,1.0,1.0,1.0,0.6,0.48553377389907837,0.6,0.6,0.6,0.6,0.6,1.0,0.9535896182060242,1.0,1.0,1.0,1.0,1.0
0.0595703125,1.0,1.0122754573822021,1.0,1.0,1.0,1.0,1.0,0.6,0.4866411089897156,0.6,0.6,0.6,0.6,0.6,1.0,0.9585081338882446,1.0,1.0,1.0,1.0,1.0
0.0615234375,1.0,1.032102346420288,1.0,1.0,1.0,1.0,1.0,0.6,0.4876401722431183,0.6,0.6,0.6,0.6,0.6,1.0,0.9638121128082275,1.0,1.0,1.0,1.0,1.0
0.0634765625,1.0,1.0526877641677856,1.0,1.0,1.0,1.0,1.0,0.6,0.4886331856250763,0.6,0.6,0.6,0.6,0.6,1.0,0.9693835973739624,1.0,1.0,1.0,1.0,1.0
