case_id,time,time_fraction,method,density_loss,velocity_loss,pressure_loss,case_evaluation_loss
id11,0.0233825,0.08333333333333333,fno_operator,0.1545314978156615,0.4953848152686006,0.1880262486686534,0.2432536666572475
id11,0.0233825,0.08333333333333333,hllc_piecewise_constant,0.051328827685088875,0.09457376302087155,0.027099417424293636,0.05085855185038472
id11,0.0233825,0.08333333333333333,hllc_fixed_mc_subcell,0.050182637474170864,0.08610988867866103,0.02305427246628626,0.04635742568609926
id11,0.0233825,0.08333333333333333,physics_gated_dkan_fv_sod_neighbourhood,0.0501822701461651,0.08611175051488835,0.023054308934993127,0.04635767112474423
id11,0.0233825,0.08333333333333333,physics_gated_dkan_fv_engineering,0.05010016356768129,0.08540721711329183,0.02271781093015847,0.0459797633715506
id11,0.0233825,0.08333333333333333,hllc_muscl_fine,0.027474648107376758,0.027873572863355102,0.006965589230317362,0.017472734578686228
id11,0.046765,0.16666666666666666,fno_operator,0.13741734365088926,0.38551834491387016,0.13063369294122393,0.19056681143354154
id11,0.046765,0.16666666666666666,hllc_piecewise_constant,0.06159467261349581,0.09314425153338345,0.022712665373501147,0.05069779881489749
id11,0.046765,0.16666666666666666,hllc_fixed_mc_subcell,0.05832136008380175,0.0800268378777663,0.018128270861865615,0.04390088014425214
id11,0.046765,0.16666666666666666,physics_gated_dkan_fv_sod_neighbourhood,0.05858158114199418,0.0800515865036058,0.0182357587880601,0.04405734181186319
id11,0.046765,0.16666666666666666,physics_gated_dkan_fv_engineering,0.05936514200653391,0.08161307480141808,0.0184335263194803,0.04469921452522356
id11,0.046765,0.16666666666666666,hllc_muscl_fine,0.03413595620072391,0.05064282411577488,0.008034540654042209,0.02403792710401393
id11,0.0701475,0.25,fno_operator,0.1388702985117093,0.2972263850054842,0.10141859382320971,0.1611652617032274
id11,0.0701475,0.25,hllc_piecewise_constant,0.05866366787790642,0.07430821633001607,0.018521003661884847,0.043220540052432366
id11,0.0701475,0.25,hllc_fixed_mc_subcell,0.0591601709491824,0.07064046073017846,0.01563653313077081,0.04027860964046207
id11,0.0701475,0.25,physics_gated_dkan_fv_sod_neighbourhood,0.059343373023823066,0.07072365038392642,0.015660861652986968,0.040356873769924966
id11,0.0701475,0.25,physics_gated_dkan_fv_engineering,0.061572821617279026,0.07198329889359194,0.015889868849114613,0.04129654367748458
id11,0.0701475,0.25,hllc_muscl_fine,0.029592033782241848,0.0365606012605683,0.005954341910660422,0.018606897740787907
id11,0.09353,0.3333333333333333,fno_operator,0.14187522457516977,0.23977929362503506,0.08379704662125304,0.1417911038831305
id11,0.09353,0.3333333333333333,hllc_piecewise_constant,0.06415042257156903,0.08111307584928446,0.019330252942802696,0.04650603451755645
id11,0.09353,0.3333333333333333,hllc_fixed_mc_subcell,0.059720292808950255,0.07137036191064115,0.015866066997218715,0.040741439569698175
id11,0.09353,0.3333333333333333,physics_gated_dkan_fv_sod_neighbourhood,0.060250198431375857,0.07286261322538774,0.016122319157333705,0.04136473499304289
id11,0.09353,0.3333333333333333,physics_gated_dkan_fv_engineering,0.06579835539811894,0.07668865453432741,0.016775119873768292,0.04390735372017858
id11,0.09353,0.3333333333333333,hllc_muscl_fine,0.031086093156277805,0.025731494687955103,0.005719971516804389,0.016601283834746825
id11,0.1169125,0.4166666666666667,fno_operator,0.14971711912023483,0.22961725002839528,0.07597191950785522,0.13771344972974142
id11,0.1169125,0.4166666666666667,hllc_piecewise_constant,0.07032740164936094,0.09338656347192602,0.019694470399026325,0.05057288830403933
id11,0.1169125,0.4166666666666667,hllc_fixed_mc_subcell,0.06423099583392866,0.08488393029309033,0.016447772517943854,0.04476024022981706
id11,0.1169125,0.4166666666666667,physics_gated_dkan_fv_sod_neighbourhood,0.06405503649592724,0.08448077443998935,0.01640314971424389,0.04460800554396632
id11,0.1169125,0.4166666666666667,physics_gated_dkan_fv_engineering,0.06407236932904617,0.08106824957104361,0.016650991476193415,0.04422357959119776
id11,0.1169125,0.4166666666666667,hllc_muscl_fine,0.03895286833553533,0.047785528338232325,0.007596239496541765,0.024181217384839162
id11,0.140295,0.5,fno_operator,0.14723527302658448,0.21655127207167596,0.07295586216472645,0.13249849128244048
id11,0.140295,0.5,hllc_piecewise_constant,0.06420902170519024,0.07750704693219777,0.016532947945868823,0.0434939830175416
id11,0.140295,0.5,hllc_fixed_mc_subcell,0.06112220935364218,0.07590493549605219,0.015039662586560294,0.04116887987715158
