method,seed,iteration,training_loss,validation_loss,profile_validation_loss
CSE-DKAN-FV,72001,1800,0.044427524847780064,0.05058658573469729,0.0033816045045071547
CSE-DKAN-FV,72001,1900,0.047845959881471466,0.05349760861293548,0.003404963967432051
CSE-DKAN-FV,72001,2000,0.04248914149722124,0.047218771061669364,0.003349843703292545
CSE-DKAN-FV,72001,2100,0.045343083639255634,0.049563403322676836,0.0033588908360007246
CSE-DKAN-FV,72001,2200,0.047234463205108185,0.04934396078318022,0.003357863121369417
CSE-DKAN-FV,72001,2300,0.04767235133316911,0.05062859868671473,0.0033632086113454737
CSE-DKAN-FV,72001,2400,0.04494977829596456,0.04844140177710329,0.003328327068496439
CSE-DKAN-FV,72001,2500,0.04192041231233418,0.049458937336374346,0.003352966522522828
CSE-DKAN-FV,72002,1,0.19684856039397963,0.043844452701059376,0.004038004498960929
CSE-DKAN-FV,72002,100,0.10072664618936011,0.058523958892288515,0.003738921758894606
CSE-DKAN-FV,72002,200,0.09093959883095358,0.07103247569772171,0.0036592984140528177
CSE-DKAN-FV,72002,300,0.079339576957498,0.06549468195495046,0.0035817890944374446
CSE-DKAN-FV,72002,400,0.08714632987146234,0.06933198625186426,0.0035647618751993384
CSE-DKAN-FV,72002,500,0.07437667060280709,0.06437502223758938,0.003518332456867611
CSE-DKAN-FV,72002,600,0.07034453404149796,0.059888156908414016,0.0034797089493818693
CSE-DKAN-FV,72002,700,0.07203417125238255,0.057733671422825754,0.0034787786827026987
CSE-DKAN-FV,72002,800,0.05736320877933067,0.05581789814470745,0.0034397634417077058
CSE-DKAN-FV,72002,900,0.08012771814680947,0.05775389098482574,0.0034553008849283495
CSE-DKAN-FV,72002,1000,0.06008375974562424,0.056697372377294136,0.0034541177330610004
CSE-DKAN-FV,72002,1100,0.06590681378791675,0.050745822901985656,0.0034038114819778345
CSE-DKAN-FV,72002,1200,0.07101256073880989,0.051425513663999944,0.003385324438545376
CSE-DKAN-FV,72002,1300,0.05044406713192173,0.05323654377223697,0.0034216673318957953
CSE-DKAN-FV,72002,1400,0.05593251421736497,0.055943007506800875,0.0034105003958106645
CSE-DKAN-FV,72002,1500,0.05678004155548057,0.052201169065577695,0.0033655082805371783
CSE-DKAN-FV,72002,1600,0.06487608984157119,0.05142245347409256,0.003362167560758812
CSE-DKAN-FV,72002,1700,0.05076069203895786,0.050492896465145064,0.0033612330832504256
CSE-DKAN-FV,72002,1800,0.040153321232071305,0.05136384693469556,0.0033578620519298555
CSE-DKAN-FV,72002,1900,0.05707870289990403,0.04991062824790114,0.0033590681486706637
CSE-DKAN-FV,72002,2000,0.05199648437624483,0.05133871781775602,0.0033555811827420574
CSE-DKAN-FV,72002,2100,0.04670792110921617,0.05044981056067545,0.003362887217570861
CSE-DKAN-FV,72002,2200,0.06151517879020952,0.04750648663121475,0.0033401421516854753
CSE-DKAN-FV,72002,2300,0.048066012935670685,0.051003687956263435,0.003366119671775482
CSE-DKAN-FV,72002,2400,0.05334068697190918,0.05007943178317034,0.0033475476766322756
CSE-DKAN-FV,72002,2500,0.03370180304935731,0.050921519322487147,0.0033363707185202723
CSE-DKAN-FV,72003,1,0.23221442971517361,0.04384385148438132,0.0040380164692322045
CSE-DKAN-FV,72003,100,0.09951789722837082,0.05417351985893707,0.0037222109637054085
CSE-DKAN-FV,72003,200,0.08064945155037419,0.06971486056913673,0.003653929481578465
CSE-DKAN-FV,72003,300,0.08483665433357691,0.06568991081766554,0.0035867343131158777
CSE-DKAN-FV,72003,400,0.08956544925103604,0.0667784257886914,0.003546653961248432
CSE-DKAN-FV,72003,500,0.07838099850727102,0.05765047411594098,0.0034785481118368524
CSE-DKAN-FV,72003,600,0.07087836310298136,0.05841560146133061,0.0034698951362889144
CSE-DKAN-FV,72003,700,0.0825522707757729,0.06039879536295856,0.0034515489289627
CSE-DKAN-FV,72003,800,0.06419863912519881,0.05397979581415205,0.0034184420497960608
CSE-DKAN-FV,72003,900,0.06790801622583936,0.05275375989465161,0.003431831461574751
CSE-DKAN-FV,72003,1000,0.06537934541668156,0.05200005775919277,0.0034095402327156098
CSE-DKAN-FV,72003,1100,0.06113638357502445,0.053361842205010564,0.0034075707148772364
CSE-DKAN-FV,72003,1200,0.05781071580294353,0.05548857309932117,0.0034213414248635693
CSE-DKAN-FV,72003,1300,0.061212584756730144,0.0489863424409724,0.003393496223270206
CSE-DKAN-FV,72003,1400,0.05619411339504895,0.051514589322394666,0.0033856840772278816
CSE-DKAN-FV,72003,1500,0.05630590598013408,0.04902633758839398,0.0033624969566649486
CSE-DKAN-FV,72003,1600,0.057336901958246506,0.05101035138481502,0.0033918976683507233
CSE-DKAN-FV,72003,1700,0.04666617263305199,0.049420325513395674,0.0033927376063670974
CSE-DKAN-FV,72003,1800,0.05490673189789744,0.05008441867367148,0.003374375027189345
CSE-DKAN-FV,72003,1900,0.05093395669733441,0.05120894119806717,0.0034037475204699397
CSE-DKAN-FV,72003,2000,0.06021535016740367,0.04884238843029037,0.0033669336780092433
CSE-DKAN-FV,72003,2100,0.05125952359201058,0.05085436584800819,0.0033633394600438575
CSE-DKAN-FV,72003,2200,0.04343169418121833,0.047667269295040504,0.00333015290418476
CSE-DKAN-FV,72003,2300,0.043835175401385415,0.04767831959777748,0.0033691326225691897
CSE-DKAN-FV,72003,2400,0.034236610046969804,0.04849328354262586,0.0033460531550385474
CSE-DKAN-FV,72003,2500,0.04500309574998761,0.05004006993091171,0.0033714395899158145
CSE-DKAN-FV (narrow),26001,1,0.18936808421601573,0.0421138351275552,0.0011493078697880714
CSE-DKAN-FV (narrow),26001,100,0.11617734322230085,0.0663976537099435,0.0010078349348702157
CSE-DKAN-FV (narrow),26001,200,0.09783663436267903,0.06933208512610342,0.0009633443719435624
CSE-DKAN-FV (narrow),26001,300,0.09270167987711728,0.0697467586455604,0.0009070548956103358
CSE-DKAN-FV (narrow),26001,400,0.06679738584922677,0.06416230606604596,0.0008772745822514048
CSE-DKAN-FV (narrow),26001,500,0.06376817609317742,0.05708348750167053,0.0008616657396198456
CSE-DKAN-FV (narrow),26001,600,0.07422558644952335,0.06006845799461392,0.0008610149570871812
CSE-DKAN-FV (narrow),26001,700,0.06653730912968506,0.05094136169346298,0.0008546539748829314
CSE-DKAN-FV (narrow),26001,800,0.06792042780474461,0.054336218096794404,0.0008437271874386528
CSE-DKAN-FV (narrow),26001,900,0.05512667773000742,0.055892540059916736,0.0008377992199068913
CSE-DKAN-FV (narrow),26001,1000,0.041030855469588894,0.050119242890863835,0.0008244560727237004
CSE-DKAN-FV (narrow),26001,1100,0.046044802706117396,0.04898102596540197,0.0008293794095455094
CSE-DKAN-FV (narrow),26001,1200,0.038499469983174196,0.049000983573480365,0.0008172625278083623
CSE-DKAN-FV (narrow),26001,1300,0.04836711899889339,0.04859977648120994,0.0008147475554383285
CSE-DKAN-FV (narrow),26001,1400,0.03841229340945382,0.04557180538158548,0.0008108816692619877
CSE-DKAN-FV (narrow),26001,1500,0.03951038587551866,0.045286790283217346,0.0008105154612987986
CSE-DKAN-FV (narrow),26001,1600,0.042821562246301695,0.04796503486505358,0.0008116467726522839
CSE-DKAN-FV (narrow),26001,1700,0.037284430458970785,0.045891188821624955,0.0008104982028053746
CSE-DKAN-FV (narrow),26001,1800,0.0247727295917416,0.04701042021487551,0.0008074192560801818
CSE-DKAN-FV (narrow),26001,1900,0.03267676636001639,0.0471276282376119,0.0008073795746006022
CSE-DKAN-FV (narrow),26001,2000,0.029221602467953918,0.04561874512243362,0.0008047350454992066
CSE-DKAN-FV (narrow),26001,2100,0.023031121420745166,0.046011926220857945,0.0008072586198243374
CSE-DKAN-FV (narrow),26001,2200,0.028254205820161707,0.045768954635908375,0.0008086829645441206
CSE-DKAN-FV (narrow),26001,2300,0.021966595375227757,0.04447505582515297,0.0008058028356959943
CSE-DKAN-FV (narrow),26001,2400,0.027149531142337955,0.046780386811397116,0.0008068954983191816
CSE-DKAN-FV (narrow),26001,2500,0.02142977019483387,0.04527889122944146,0.000808605649889843
CSE-DKAN-FV (narrow),26002,1,0.21318127387504368,0.03960821356845643,0.0011433008555417725
CSE-DKAN-FV (narrow),26002,100,0.13025331824436473,0.06477649474220835,0.00099168879765687
CSE-DKAN-FV (narrow),26002,200,0.10591546271444162,0.06540472463640767,0.000935944976187749
CSE-DKAN-FV (narrow),26002,300,0.09449319090631289,0.061353013310503475,0.0008706231600458221
CSE-DKAN-FV (narrow),26002,400,0.07335248839144531,0.06000259130794304,0.0008364538719173168
CSE-DKAN-FV (narrow),26002,500,0.08193720810071362,0.05516965153675582,0.0008176582705861475
CSE-DKAN-FV (narrow),26002,600,0.07202335364931751,0.05387022310437613,0.0008058579484513619
CSE-DKAN-FV (narrow),26002,700,0.064890646227596,0.05382197590857201,0.000799281838691556
CSE-DKAN-FV (narrow),26002,800,0.06652029562274796,0.05151236243850693,0.0007947109985589081
CSE-DKAN-FV (narrow),26002,900,0.05416079394731304,0.051291189470470275,0.0007932822449082256
CSE-DKAN-FV (narrow),26002,1000,0.05838526586265367,0.05012531067627761,0.0007901531593359088
CSE-DKAN-FV (narrow),26002,1100,0.04941058302968575,0.053025538973262856,0.0007909376845800996
CSE-DKAN-FV (narrow),26002,1200,0.04021134731654223,0.04991229559636904,0.0007871940297314063
CSE-DKAN-FV (narrow),26002,1300,0.03670925703983244,0.05131767783549949,0.0007859551794124095
CSE-DKAN-FV (narrow),26002,1400,0.05216075356420494,0.04842966556056019,0.0007833703934777967
CSE-DKAN-FV (narrow),26002,1500,0.04943583200315323,0.05159336446561693,0.0007835088899365654
CSE-DKAN-FV (narrow),26002,1600,0.0300970407128198,0.04806818550123729,0.0007782893195927803
CSE-DKAN-FV (narrow),26002,1700,0.04589776896656669,0.05516544260843728,0.0007853943946463671
CSE-DKAN-FV (narrow),26002,1800,0.035898711193377404,0.04762298365882708,0.0007793157956731215
CSE-DKAN-FV (narrow),26002,1900,0.03467631031459048,0.04861993090655746,0.0007769692337988177
CSE-DKAN-FV (narrow),26002,2000,0.04277265195694024,0.04713766202364007,0.0007774194875534391
CSE-DKAN-FV (narrow),26002,2100,0.03517749097058486,0.04862690684727086,0.0007768141606616483
CSE-DKAN-FV (narrow),26002,2200,0.030270072708157014,0.04798157995479609,0.0007761100888796652
CSE-DKAN-FV (narrow),26002,2300,0.027936194739421945,0.047847068940081276,0.000775540126946859
CSE-DKAN-FV (narrow),26002,2400,0.030014976470870505,0.04959408551522384,0.0007771188011035303
CSE-DKAN-FV (narrow),26002,2500,0.0251479575908464,0.0494651689327995,0.0007771778404746997
CSE-DKAN-FV (narrow),26003,1,0.14213956203047687,0.0375082653098051,0.0012177231855136708
CSE-DKAN-FV (narrow),26003,100,0.12154880354185887,0.05349085532243789,0.0010527685509795265
CSE-DKAN-FV (narrow),26003,200,0.08631859499096109,0.06147694290610494,0.0009794316265033982
CSE-DKAN-FV (narrow),26003,300,0.08788566723048849,0.060367310519130524,0.0009106227634508606
CSE-DKAN-FV (narrow),26003,400,0.07893752161702952,0.05534982797792513,0.0008642913612923936
CSE-DKAN-FV (narrow),26003,500,0.07707274160394516,0.05337765277182803,0.0008589425051817096
CSE-DKAN-FV (narrow),26003,600,0.06833832197761476,0.04958506497716941,0.0008419215046483721
CSE-DKAN-FV (narrow),26003,700,0.05853637756211697,0.05256896449656029,0.0008263714115991826
CSE-DKAN-FV (narrow),26003,800,0.06758441597543735,0.05271700479627688,0.0008265202643426331
CSE-DKAN-FV (narrow),26003,900,0.05250093555343279,0.04696516851415698,0.0008269507906443443
CSE-DKAN-FV (narrow),26003,1000,0.04256421744662616,0.05029004858693584,0.0008161239886111137
CSE-DKAN-FV (narrow),26003,1100,0.05583083021421535,0.04715462356401383,0.0008207493698649485
CSE-DKAN-FV (narrow),26003,1200,0.04580614127611343,0.04959686721268865,0.000812011229118476
CSE-DKAN-FV (narrow),26003,1300,0.04653064954527668,0.047501939979577794,0.0008115020556241271
CSE-DKAN-FV (narrow),26003,1400,0.03941168221666902,0.048489168306417356,0.0008071294296770837
CSE-DKAN-FV (narrow),26003,1500,0.047364121465751224,0.048933935698627945,0.0008060085920715517
CSE-DKAN-FV (narrow),26003,1600,0.03720070277971691,0.04464671891841595,0.0008127136163577161
CSE-DKAN-FV (narrow),26003,1700,0.036314953873639845,0.04608050107076703,0.0008071195160699465
CSE-DKAN-FV (narrow),26003,1800,0.027703278601265688,0.04454188858612485,0.0008054388037931819
CSE-DKAN-FV (narrow),26003,1900,0.03694621062175132,0.043818386362872115,0.000804124424449595
CSE-DKAN-FV (narrow),26003,2000,0.0222958292269595,0.042829344286979494,0.0008111898130410339
CSE-DKAN-FV (narrow),26003,2100,0.021569059202690023,0.04402253719224738,0.0008061178629150881
CSE-DKAN-FV (narrow),26003,2200,0.01741687910117842,0.04453240567201293,0.0008012779062297866
CSE-DKAN-FV (narrow),26003,2300,0.026110149960009862,0.04475731512671872,0.0008003840915018867
CSE-DKAN-FV (narrow),26003,2400,0.02821123160276472,0.045920950350996,0.0008009391818861115
CSE-DKAN-FV (narrow),26003,2500,0.020824263622749563,0.04624646798217995,0.0007970818873172885
