case_group,case_id,density_normalized_l2,density_tv_excess,evaluated_shock_count,maximum_cell_average_change,maximum_normalized_rh_residual,maximum_relative_conservation_error,maximum_shock_entropy_violation,mean_shock_width_10_90,method,minimum_density,minimum_pressure,model_seed,online_seconds,pressure_normalized_l2,primitive_geometric_mean_l2,relative_conservation_errors,time,velocity_normalized_l2
in_distribution,id01,0.03027463535476688,0.020141549742780155,1,,0.012865533295015774,0.0014211933012203996,0.0,0.015836787902387073,hllc_piecewise_constant,0.583841,0.30971399999999993,,0.3114427998661995,0.02278868217452925,0.04051445003543681,"[0.00020204286738996092, 0.0014211933012203996, 0.00038097988175068656]",0.21416,0.09638994031904839
in_distribution,id01,0.028122996264779335,0.020141549742780155,1,,0.012957780114245039,0.001421193301220471,0.0,0.013406268268754573,hllc_fixed_mc_subcell,0.583841,0.30971399999999993,,0.3114427998661995,0.01974506550418127,0.03596703294512535,"[0.00020204286739077147, 0.001421193301220471, 0.0003809798817488028]",0.21416,0.08379028548914075
in_distribution,id01,0.014494942705535143,0.013819928531308383,1,,0.0015423442294657205,0.0014211933012337,0.0,0.0043354862135971395,hllc_muscl_fine,0.583841,0.30971399999999993,,1.424083000048995,0.008892756721837902,0.016269879210411713,"[0.00020204286739725584, 0.0014211933012337, 0.00038097988175692647]",0.21416,0.03341181526387378
in_distribution,id01,0.026703455716662192,0.37562153204820303,1,4.440892098500626e-16,0.012247824104211168,0.0014211933012205425,0.0,0.012599841710228099,physics_gated_dkan_fv_engineering,0.583841,0.30971399999999993,72001,0.3321215999312699,0.015630653009724545,0.03021405970196216,"[0.00020204286738996092, 0.0014211933012205425, 0.00038097988174962697]",0.21416,0.06608192101457709
in_distribution,id01,0.02641030544113277,0.2911736146197769,1,4.440892098500626e-16,0.012594725538291907,0.001421193301220614,0.0,0.012637857351865067,physics_gated_dkan_fv_engineering,0.583841,0.30971399999999993,72002,0.32777660014107823,0.015884589031247804,0.03043221494020384,"[0.00020204286739090657, 0.001421193301220614, 0.0003809798817493915]",0.21416,0.06718174510650667
in_distribution,id01,0.027066471279108547,0.47629487111219176,1,4.440892098500626e-16,0.012738191860620876,0.0014211933012205425,0.0,0.01244606716180685,physics_gated_dkan_fv_engineering,0.583841,0.30971399999999993,72003,0.3265253999270499,0.015508646846992888,0.030182536676466885,"[0.00020204286739009602, 0.0014211933012205425, 0.0003809798817500979]",0.21416,0.06550307151790655
in_distribution,id01,0.02814785700037529,0.032939561309987694,1,4.440892098500626e-16,0.01295769685539712,0.001421193301220471,0.0,0.013405566379957379,physics_gated_dkan_fv_sod_neighbourhood,0.583841,0.30971399999999993,26001,0.3297710996121168,0.0197315301383907,0.03596136491642982,"[0.0002020428673902311, 0.001421193301220471, 0.0003809798817495092]",0.21416,0.08373410833426355
in_distribution,id01,0.02807811853809218,0.020141630304715413,1,4.440892098500626e-16,0.012956033600069946,0.0014211933012206856,0.0,0.01339970570415483,physics_gated_dkan_fv_sod_neighbourhood,0.583841,0.30971399999999993,26002,0.3251471999101341,0.019642487792098515,0.035824544955708804,"[0.00020204286739077147, 0.0014211933012206856, 0.00038097988174998015]",0.21416,0.0833638095936804
in_distribution,id01,0.028120644558625472,0.020141556482946858,1,4.440892098500626e-16,0.012957776921148564,0.001421193301220471,0.0,0.013406017078781418,physics_gated_dkan_fv_sod_neighbourhood,0.583841,0.30971399999999993,26003,0.32512579998001456,0.019739802219959832,0.03595970807313249,"[0.00020204286739077147, 0.001421193301220471, 0.0003809798817495092]",0.21416,0.08376843545478421
in_distribution,id01,0.11425449870918149,0.799201519513501,1,,0.07058908954568147,0.05596622959090118,0.043855369091033936,0.07516173168712381,fno_operator,0.5322551131248474,0.2552979290485382,71001,0.0014770999550819397,0.0745440146868694,0.13517634920738492,"[0.0333079791285801, 0.05596622959090118, 0.0002623037961282437]",0.21416,0.29001205530062785
in_distribution,id01,0.10625020141646252,0.7058602635659023,1,,0.07388755047720964,0.06378074033164383,0.11199000477790833,0.06959590719737008,fno_operator,0.5062759518623352,0.24749191105365753,71002,0.001969600096344948,0.07161780016889845,0.1293615863078886,"[0.01898725022612267, 0.06378074033164383, 0.02946125748190225]",0.21416,0.28448885577393757
in_distribution,id01,0.11446812709657911,0.7412317632616944,1,,0.08619512181137412,0.06745092237331457,0.13981914520263672,0.0751763333581913,fno_operator,0.5554600358009338,0.2848488986492157,71003,0.0021438002586364746,0.10496511564132467,0.15384659354656685,"[0.03860977256605287, 0.05381147269907739, 0.06745092237331457]",0.21416,0.3030638165907464
in_distribution,id02,0.027250111215910595,0.00941353052022776,1,,0.004417507857566786,0.000543170480059454,0.0,0.009516124933953485,hllc_piecewise_constant,0.27556,0.127573,,0.37955080019310117,0.020801394496485485,0.03649145159866812,"[0.000257508498781198, 0.000543170480059454, 8.337827538488185e-05]",0.225037,0.08572602551883186
in_distribution,id02,0.024115359183947176,0.00941353052022776,1,,0.0014829831202129427,0.0005431704800595528,0.0,0.012451509897185797,hllc_fixed_mc_subcell,0.27556,0.127573,,0.37955080019310117,0.01764322930144235,0.031880928886707106,"[0.0002575084987808696, 0.0005431704800595528, 8.337827538475634e-05]",0.225037,0.07615897429106527
in_distribution,id02,0.011418351796000285,0.0035110996298858433,1,,1.4982687413741496e-05,0.000543170480074163,0.0,0.004283127251697771,hllc_muscl_fine,0.27556,0.127573,,1.8310298002324998,0.006848294768781467,0.01379669213699462,"[0.0002575084987948251, 0.000543170480074163, 8.337827539642897e-05]",0.225037,0.03358451304730182
in_distribution,id02,0.021741132190732183,0.12117262758178349,1,4.440892098500626e-16,0.0014615144286157665,0.000543170480059454,0.0,0.012154899921237639,physics_gated_dkan_fv_engineering,0.27556,0.127573,72001,0.39363630022853613,0.015308206630360996,0.02776276714103664,"[0.0002575084987807055, 0.000543170480059454, 8.337827538488185e-05]",0.225037,0.064295677815276
