group,method,primary_error_median,primary_error_geometric_mean,fixed_over_method_gain_median,fixed_over_method_win_rate,density_tv_excess_median,shock_width_median,tv_trust_multiplier_median,minimum_density,minimum_pressure,maximum_cell_average_change,online_seconds_median
in_distribution,hllc_fixed_mc_subcell,0.033807852723272816,0.03431181798120692,,,0.010820984300274596,0.014763013917644952,,0.05758799999999999,0.028323000000000004,0.0,0.2917678998783231
in_distribution,physics_gated_dkan_fv_engineering,0.03136329395578009,0.032190481231799115,1.0335866427152083,0.65,0.15465502293635836,0.013981267682891652,,0.05758799999999999,0.028323000000000004,8.881784197001252e-16,0.3071667000185698
in_distribution,physics_gated_dkan_fv_engineering_tv_trust_0,0.03385935748838382,0.034112599498771254,1.0000000003687561,0.65,0.010820984300922484,0.014533845663448952,1.525040715932846e-08,0.05758799999999999,0.028323000000000004,8.881784197001252e-16,0.309350699884817
in_distribution,physics_gated_dkan_fv_engineering_tv_trust_0.02,0.03308434530792666,0.03300472386631818,1.034758233773637,0.7,0.03103740396183618,0.014306266889516417,0.5671165914973244,0.05758799999999999,0.028323000000000004,8.881784197001252e-16,0.308909900020808
in_distribution,physics_gated_dkan_fv_engineering_tv_trust_0.05,0.03257377233790434,0.03273700482771893,1.035759885420581,0.7,0.061362033485664824,0.014253782079211741,0.7212133967550471,0.05758799999999999,0.028323000000000004,8.881784197001252e-16,0.30886029987595975
in_distribution,physics_gated_dkan_fv_engineering_tv_trust_0.1,0.03238727339704013,0.03249219901207654,1.0357984221993484,0.6833333333333333,0.10967016525959755,0.014203598854789334,0.9111490426585078,0.05758799999999999,0.028323000000000004,8.881784197001252e-16,0.3089054999873042
stress,hllc_fixed_mc_subcell,0.02511871390654031,0.001270273245560185,,,0.022522321490066638,0.01449276522390619,,0.029999999999999995,0.008,0.0,0.2828038998413831
stress,physics_gated_dkan_fv_engineering,0.02591787478555101,0.0012055734436053423,1.0522913312850255,0.6666666666666666,0.16758665102309958,0.013858630015053913,,0.029999999999999995,0.008,1.7763568394002505e-15,0.29882284975610673
stress,physics_gated_dkan_fv_engineering_tv_trust_0,0.024475992259241047,0.0012490751369182633,1.0000000013679533,0.7,0.022522321491155926,0.013847000512516305,1.0059447959065437e-06,0.029999999999999995,0.008,1.7763568394002505e-15,0.30065489979460835
stress,physics_gated_dkan_fv_engineering_tv_trust_0.02,0.024894027298361085,0.0012250177439532646,1.028583125616417,0.6666666666666666,0.0429727679080507,0.01384995501471492,0.5253249374218285,0.029999999999999995,0.008,1.7763568394002505e-15,0.3005707496777177
stress,physics_gated_dkan_fv_engineering_tv_trust_0.05,0.024964049130288407,0.0012145133274371253,1.038853205072765,0.6666666666666666,0.07364843753436034,0.013850387757617322,0.7382693282561377,0.029999999999999995,0.008,1.7763568394002505e-15,0.3005347999278456
stress,physics_gated_dkan_fv_engineering_tv_trust_0.1,0.0251701115403977,0.001204759019426831,1.0490754587395283,0.6666666666666666,0.12470392989798049,0.013850975309456642,0.936527582234703,0.029999999999999995,0.008,1.7763568394002505e-15,0.30051644961349666
