case_group,case_id,engineering_dkan_fv_error,fine_hllc_error,fine_over_engineering_gain,fixed_mc_error,fixed_over_engineering_gain,fno_error,fno_over_engineering_gain,legacy_dkan_fv_error
in_distribution,id01,0.03021405970196216,0.016269879210411713,0.5384870279234643,0.03596703294512535,1.1904071581214748,0.13517634920738492,4.47395518976241,0.03595970807313249
in_distribution,id02,0.02776276714103664,0.01379669213699462,0.4969494599333898,0.031880928886707106,1.1483339799937786,0.09518689497714436,3.4285809657801334,0.027557553841283826
in_distribution,id03,0.04230529829063384,0.026872287415531146,0.6351991003803068,0.044544901556118496,1.0529390727870247,0.17817441729600247,4.2116336368073615,0.042812454785306264
in_distribution,id04,0.02766851279619966,0.013720379773090215,0.4958842520431652,0.030577056997507943,1.105121089186542,0.10957926812104603,3.9604321680815824,0.028008718525662255
in_distribution,id05,0.03528376560175928,0.01738930897246343,0.49284164192487384,0.03525870770259837,0.9992898178883813,0.14189663580754636,4.021584243844746,0.03512812382230515
in_distribution,id06,0.02631439438229726,0.014073134639519954,0.5348074683028811,0.02824659791654021,1.0734276269547294,0.11142989697414812,4.234560573779021,0.026291493616427304
in_distribution,id07,0.02321286844844522,0.010660699078874547,0.4592581525437711,0.023332546621893963,1.0051556822335224,0.08396573502409106,3.6172063444281064,0.02286768587502255
in_distribution,id08,0.04224253843907132,0.019403109831041432,0.45932632242325067,0.04045686993394271,0.9577281912708874,0.16899257384728208,4.000530746773875,0.04050095776054282
in_distribution,id09,0.01956928107868047,0.009876847269665508,0.5047118097979454,0.02221041500998637,1.134963258010702,0.0697090683462268,3.5621680768932564,0.021584696201751085
in_distribution,id10,0.037754425909107714,0.01940422546921778,0.5139589598298405,0.035051999070631036,0.928420926198622,0.15422966438861474,4.085075078612413,0.035351766782208846
in_distribution,id11,0.04412450372030461,0.018983031378237366,0.4302151815364671,0.04276283004114399,0.9691401927647285,0.1955080425029523,4.430827001301458,0.042842215178789264
in_distribution,id12,0.05483106451370698,0.03621765971377519,0.6605317630614539,0.05653536484913461,1.0310827511838947,0.18141046993487528,3.308534524065738,0.05604823492750297
in_distribution,id13,0.016998756707517677,0.010255062580380309,0.6032830963363939,0.02054540808805368,1.2086418107841677,0.0779425847962633,4.585193266622452,0.016827867802545405
in_distribution,id14,0.02476720399274684,0.014288389107060515,0.5769076360514864,0.026482116197979192,1.069241251686487,0.08295718604101682,3.349477238743263,0.024920602671941416
in_distribution,id15,0.056101773244710856,0.032669031428955705,0.5823172698384479,0.052693119478751306,0.9392416038065088,0.13374989853379773,2.3840583068630075,0.05275808575816591
in_distribution,id16,0.03334281260175517,0.016376269490302787,0.49114841287986416,0.03256370637591459,0.9766334581564492,0.1191248839780807,3.5727305131964164,0.03251490173103212
in_distribution,id17,0.03309650400808758,0.0135732415356989,0.4101110356665494,0.030637233455577628,0.9256939478589946,0.1046716401134753,3.1626192327714544,0.03065483293603924
in_distribution,id18,0.023889381598821327,0.016663589761780923,0.6975312313066774,0.0389501256158754,1.6304367467509981,0.1232748478039908,5.160236035999903,0.036024493526838966
in_distribution,id19,0.020658292272986083,0.010984974100610686,0.531746475238674,0.023555983295289025,1.1402676941545706,0.11192336798892111,5.417842216090545,0.02056318743023857
in_distribution,id20,0.06864809542704048,0.04388111214245926,0.6392182021873617,0.07053219726682315,1.0274457991596446,0.1474199029789897,2.1474725855383454,0.07061407771012199
stress,stress01,0.03743605608768684,0.01656383132280947,0.44245663282509906,0.04032322106990137,1.077122573367555,0.17666058876176888,4.71899572828866,0.040380865917043846
stress,stress02,0.02077175133618862,0.010147334459168975,0.48851607622946325,0.023607531252088344,1.1365209832335716,0.15383371838306337,7.405909876990185,0.021073819929730175
stress,stress03,0.04482703909093577,0.030831952321529892,0.6877981001373845,0.04706217539180686,1.049861341417998,0.10956157147329137,2.444095655103065,0.04563969437581544
stress,stress04,0.0348234896499774,0.020017050802801174,0.5748146151921959,0.038228202667907336,1.0977705868122882,0.38268122239192326,10.989169271614674,0.03822193184987028
stress,stress05,0.026819726570404493,0.010713131461893602,0.3994496899053221,0.024751840938815023,0.9228968413916875,0.7646945344816821,28.512391148891158,0.0248471996462405
stress,stress06,0.009750012584022055,0.004948093910078418,0.5074961562805738,0.009882213668346011,1.01355906807142,0.5621394679701955,57.65525563437816,0.00988141685125689
stress,stress07,1.0000000000000013e-15,1.0000000000000013e-15,1.0,1.0000000000000013e-15,1.0,46555.45645714132,4.6555456457141264e+19,1.0000000000000013e-15
stress,stress08,0.03689074447312658,0.016980573755464783,0.4602936047504936,0.04316854613959037,1.1701728104467208,0.19441835739823382,5.270112061301981,0.03664133123369943
stress,stress09,0.02175781184506779,0.014105141115015192,0.6482793957156424,0.025485586874265595,1.1713304194255565,0.16173677651057633,7.433503776127191,0.022334076102489987
stress,stress10,0.025242884304849257,0.013671087673332478,0.541581837805524,0.023734825140035304,0.9402580486999162,0.10677165089520009,4.2297722243527,0.02403481678542953
