case_id,reference_cells,check_cells,density_normalized_l2,velocity_normalized_l2,pressure_normalized_l2,primitive_rms_l2,maximum_normalized_pointwise_disagreement,maximum_range_normalized_linf_disagreement,reference_seconds,check_seconds
shu_osher,2048,4096,0.004533986037840609,0.002288953298020346,0.003732229996508243,0.003638950276232957,0.07432342017985516,0.06410604230371854,56.621798699954525,152.07615210005315
woodward_colella,2048,4096,0.03453101480176912,0.021579334556903276,0.010253153799910293,0.024243114665153713,86.7044672869966,0.20399494598808482,74.85692879999988,235.1152524999925
