case_id,time,time_fraction,method,method_label,primitive_rms_l2
sod,0.13333333333333333,0.6666666666666666,hllc_muscl_fine,512-cell HLLC,0.01777567509329013
sod,0.15,0.7499999999999999,fno_operator,FNO,0.12808716120871458
sod,0.15,0.7499999999999999,hllc_piecewise_constant,128-cell HLLC-PC,0.04695920292464758
sod,0.15,0.7499999999999999,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.04236925090986621
sod,0.15,0.7499999999999999,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.03245085376093176
sod,0.15,0.7499999999999999,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.03526986023015403
sod,0.15,0.7499999999999999,hllc_muscl_fine,512-cell HLLC,0.017032309820956344
sod,0.16666666666666666,0.8333333333333333,fno_operator,FNO,0.11638269390684487
sod,0.16666666666666666,0.8333333333333333,hllc_piecewise_constant,128-cell HLLC-PC,0.04773681360657664
sod,0.16666666666666666,0.8333333333333333,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.04050595437892627
sod,0.16666666666666666,0.8333333333333333,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.02249308515392065
sod,0.16666666666666666,0.8333333333333333,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.02432990413332821
sod,0.16666666666666666,0.8333333333333333,hllc_muscl_fine,512-cell HLLC,0.016589370559380916
sod,0.18333333333333332,0.9166666666666665,fno_operator,FNO,0.12966624648969963
sod,0.18333333333333332,0.9166666666666665,hllc_piecewise_constant,128-cell HLLC-PC,0.0423912288648122
sod,0.18333333333333332,0.9166666666666665,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.04275779024759253
sod,0.18333333333333332,0.9166666666666665,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.04373897894114719
sod,0.18333333333333332,0.9166666666666665,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.04426679944432508
sod,0.18333333333333332,0.9166666666666665,hllc_muscl_fine,512-cell HLLC,0.02881496302658274
sod,0.2,1.0,fno_operator,FNO,0.13896917514690474
sod,0.2,1.0,hllc_piecewise_constant,128-cell HLLC-PC,0.04526595670579941
sod,0.2,1.0,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.042226245925796706
sod,0.2,1.0,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.03382705274820867
sod,0.2,1.0,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.037697267563800575
sod,0.2,1.0,hllc_muscl_fine,512-cell HLLC,0.026685633575585947
lax,0.0,0.0,fno_operator,FNO,0.6569241107238531
lax,0.0,0.0,hllc_piecewise_constant,128-cell HLLC-PC,0.0
lax,0.0,0.0,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.0
lax,0.0,0.0,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.0
lax,0.0,0.0,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.0
lax,0.0,0.0,hllc_muscl_fine,512-cell HLLC,0.0
lax,0.011666666666666667,0.08333333333333333,fno_operator,FNO,0.5478112061948717
lax,0.011666666666666667,0.08333333333333333,hllc_piecewise_constant,128-cell HLLC-PC,0.09890229423589181
lax,0.011666666666666667,0.08333333333333333,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.0992125259276682
lax,0.011666666666666667,0.08333333333333333,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.09920895010134516
lax,0.011666666666666667,0.08333333333333333,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.09932135648233517
lax,0.011666666666666667,0.08333333333333333,hllc_muscl_fine,512-cell HLLC,0.043291731884263704
lax,0.023333333333333334,0.16666666666666666,fno_operator,FNO,0.4780561010822681
lax,0.023333333333333334,0.16666666666666666,hllc_piecewise_constant,128-cell HLLC-PC,0.09999415749309556
lax,0.023333333333333334,0.16666666666666666,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.0877444020016824
lax,0.023333333333333334,0.16666666666666666,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.08772892840692964
lax,0.023333333333333334,0.16666666666666666,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.07522941731799632
lax,0.023333333333333334,0.16666666666666666,hllc_muscl_fine,512-cell HLLC,0.0417692115626088
lax,0.035,0.25,fno_operator,FNO,0.4347308216754147
lax,0.035,0.25,hllc_piecewise_constant,128-cell HLLC-PC,0.09192474725247855
lax,0.035,0.25,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.09056004388510991
lax,0.035,0.25,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.09067106978517517
lax,0.035,0.25,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.0902804574444348
lax,0.035,0.25,hllc_muscl_fine,512-cell HLLC,0.05888658072542704
lax,0.04666666666666667,0.3333333333333333,fno_operator,FNO,0.41443830437048573
lax,0.04666666666666667,0.3333333333333333,hllc_piecewise_constant,128-cell HLLC-PC,0.09186590446123787
lax,0.04666666666666667,0.3333333333333333,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.08644526887426353
lax,0.04666666666666667,0.3333333333333333,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.0865811963775633
lax,0.04666666666666667,0.3333333333333333,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.0868019834293678
lax,0.04666666666666667,0.3333333333333333,hllc_muscl_fine,512-cell HLLC,0.04900131602251312
lax,0.058333333333333334,0.41666666666666663,fno_operator,FNO,0.40116135211601206
lax,0.058333333333333334,0.41666666666666663,hllc_piecewise_constant,128-cell HLLC-PC,0.0919519176134129
lax,0.058333333333333334,0.41666666666666663,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.0833451178122318
lax,0.058333333333333334,0.41666666666666663,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.08358193650214539
lax,0.058333333333333334,0.41666666666666663,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.08001249884535905
lax,0.058333333333333334,0.41666666666666663,hllc_muscl_fine,512-cell HLLC,0.04315675911020643
lax,0.07,0.5,fno_operator,FNO,0.3886277952082833
lax,0.07,0.5,hllc_piecewise_constant,128-cell HLLC-PC,0.08596230814191388
lax,0.07,0.5,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.07930431037452883
lax,0.07,0.5,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.07913580391123179
lax,0.07,0.5,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,0.07355459058177294
lax,0.07,0.5,hllc_muscl_fine,512-cell HLLC,0.03939580532577929
lax,0.08166666666666667,0.5833333333333333,fno_operator,FNO,0.3732462800223619
lax,0.08166666666666667,0.5833333333333333,hllc_piecewise_constant,128-cell HLLC-PC,0.07222051711105897
lax,0.08166666666666667,0.5833333333333333,hllc_fixed_mc_subcell,128-cell HLLC-MC,0.07412542236151122
lax,0.08166666666666667,0.5833333333333333,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,0.07442344210207273
